product_description,reason_for_recall,status,classification,recalling_firm,recall_initiation_date,voluntary_mandated,city,state
"Artri King Reforzado con Ortiga Omega 3 Tablets, ORIGINAL, a) 100-count bottles labeled with UPC 7 501031 111190 and UPC 6 09002 40885, and b) 2 pack of 100-count bottles per carton UPC 3 72426 01434",Marketed Without An Unapproved NDA/ANDA: All lots were found to be unapproved drugs based on labeling claims.,Completed,Class II,Walmart Inc,20220524,Voluntary: Firm initiated,Bentonville,AR
"Dermamedics Post Procedure Cream, 1 ounce containers which were distributed with a SKU number of DM 1026",Marketed without an Approved NDA/ANDA: FDA has determined that the products are unapproved new drugs and misbranded.,Terminated,Class II,"Dermamedics, L.L.C.",20140110,Voluntary: Firm initiated,Oklahoma City,OK
"Rifampin Capsules, USP, 150 mg, 30 count HDPE bottles, Rx Only, Manufactured for Lupin Pharmaceuticals, Inc., Baltimore, MD, 21202  NDC: 68180-658-06",CGMP Deviations:OOS result was observed in 1-Methyl-4-Nitroso Piperazine (MNP) impurity.,Terminated,Class II,Lupin Pharmaceuticals Inc.,20220728,Voluntary: Firm initiated,Baltimore,MD
"PROCAINE HCL *5ML* SDV SULFITE FREE 1% INJ, Injection, 1%, RXxonly, 5mL Glass/Single Dose vials, Prepared by Key Compounding Pharmacy",Lack of Assurance of Sterility: The firm is recalling sterile compounded drugs within expiry due to lack of assurance of sterility.,Terminated,Class II,Key Pharmacy and Compounding Center,20170418,Voluntary: Firm initiated,Federal Way,WA
"Dextroamphetamine Saccharate, Amphetamine Aspartate, Dextroamphetamine Sulfate, and Amphetamine Sulfate Tablets, 10 mg, 100 ct. bottle, Rx Only.  Manufactured by: Actavis Elizabeth LLC, Elmora Avenue, Elizabeth, NJ 07207. Distributed by: Actavis, Inc., 80 Columbia Road, Bldg B, Morristown, NJ 07960. NDC: 45963-745-11.",Failed Impurities/Degradation Specifications: Out of specification for impurities.,Terminated,Class II,Actavis Elizabeth LLC,20160216,Voluntary: Firm initiated,Elizabeth,NJ
"ESTRIOL 5 ESTRADIOL (Estradiol (E2) Trit (Yellow)) 0.95 ESTRONE (Estrone E1) Trit (Red)) 0.02 TEST (Testosterone USP) 0.75MG/ML W/V (weight/volume)  transdermal cream, dispensed in 10 mL prefilled, amber syringes, Rx only, The Compounder, 340 Marshall Avenue Unit 100, Aurora, IL 60506.",Recalled products were made using an active ingredient that was recalled by a supplier due to penicillin cross contamination.,Terminated,Class II,the Compounder,20150310,Voluntary: Firm initiated,Aurora,IL
"Amlodipine and Benazepril HCl Capsules USP 2.5 mg/10 mg, 100 Capsules bottle, Rx Only, Manufactured for: Lupin Pharmaceuticals, Inc., Naples, FL, 34108, United States, Manufactured by: Lupin Limited, Goa 103 722, INDIA, NDC 68180-755-01.",Labeling: Incorrect or Missing Lot and/or Exp Date: released with wrong expiry date as Feb.2027 instead of Jan.2027,Ongoing,Class II,Lupin Pharmaceuticals Inc.,20250702,Voluntary: Firm initiated,Naples,FL
"Ranolazine  Extended-Release Tablets  1000mg, 60-count bottle, Rx Only, Manufactured by: Glenmark Pharmaceuticals Limited, Pithampur, Madhya Pradesh 454775, India, Manufactured for: Glenmark Pharmaceuticals Inc. USA, Mahwah, NJ 07430. NDC# 68462-320-60",CGMP Deviations,Ongoing,Class II,"Glenmark Pharmaceuticals Inc., USA",20250313,Voluntary: Firm initiated,Mahwah,NJ
"Dexamethasone LA 16mg, Main Street Compounding Pharmacy, 126 East Main Street, Newbern, TN 38059, 888-658-6200",The firm received seven reports of adverse reactions in the form of skin abscesses potentially linked to compounded preservative-free methylprednisolone 80mg/ml 10 ml vials.,Terminated,Class II,"Main Street Family Pharmacy, LLC",20130528,Voluntary: Firm initiated,Newbern,TN
"Hydroxocobalamin (Preserved) 1,000 mcg/mL Injectable, 1 mL vial, Rx only, Liberty Drug Compound Center, 195 Main St., PO Box 267, Chatham, NJ  07928.",Lack of Assurance of Sterility: Process deficiencies were observed in the sterile ophthalmic and injectable products that could have compromised the sterility of the product.,Terminated,Class II,Liberty Drug & Surgical,20150615,Voluntary: Firm initiated,Chatham,NJ
"GLUTATHIONE 100MG/ML, packaged in 10 mL vials, Well Care Compounding Pharmacy Las Vegas, NV 89121",Lack of Assurance of Sterility: FDA inspection identified GMP violations potentially impacting product quality and sterility.,Terminated,Class II,Well Care Compounding Pharmacy,20160517,Voluntary: Firm initiated,Las Vegas,NV
"Abington Memorial Hospital (PA) TPN Neonatal Starter 0.4-0.599 Kg, Amino Acids, Neonate 3g, Dextrose 5%, 150 ml, Additives: heparin PF 75 units, Calcium Gluconate 300mg, compound vol: 150 ml,  sterile injectable, Rx only, compounded drug, IV infusion bag packaged in a corrugated box, each container is lined with a polystyrene insert; CAPS, Allentown, PA.",Non-Sterility: Out of specification results for the sterility test for microbial contamination.,Terminated,Class I,"Central Admixture Pharmacy Services, Inc.",20141217,Voluntary: Firm initiated,Allentown,PA
"Simvastatin 10 mg tablets, packaged in a) 30-count bottles (NDC 70518-0064-01) and b) 90-count bottles (NDC 70518-0064-00), Rx only, Repackaged by: RemedyRepack Inc., Indiana, PA 15701",cGMP Deviations,Terminated,Class II,RemedyRepack Inc.,20230320,Voluntary: Firm initiated,Indiana,PA
"Buprenorphine Transdermal System 5 mcg/hour, 4 transdermal systems/4 disposal units per carton, Rx Only, Manufactured by: 3M Drug Delivery Systems, 19901 Nordhoff street, Northridge, CA 91324 USA, Manufactured for: Teva Pharmaceuticals USA Inc., North Wales, PA 19454, carton NDC: 0093-3656-40, patch NDC: 0093-3656-21.",Failed Stability Specifications: Below specification result for buprenorphine release rate.,Terminated,Class II,Teva Pharmaceuticals USA,20200904,Voluntary: Firm initiated,Parsippany,NJ
"Metformin Hydrochloride Extended - Release Tablets, USP, 500 mg, a) 100 (NDC 62037-571-01) and b) 1,000 (NDC 62037-571-10) count bottles, Rx Only, Manufactured by: Watson Pharma Private Limited, Verna, Salcette Goa, Distributed by: Actavis Pharma, Inc., Parsippany, NJ",CGMP Deviations: FDA analysis detected N-Nitrosodimethylamine (NDMA) impurity above the acceptable intake level,Terminated,Class II,Teva Pharmaceuticals USA,20200602,Voluntary: Firm initiated,Parsippany,NJ
"Motion Sickness (meclizine hydrochloride) 25 mg tablets, 12-count box, Distributed by Sato Pharmaceutical INC. 20695 S. Western Ave., Suite 240 Torrence, CA 90501, NDC 59779-534-01. UPC 050428345535",Subpotent Drug,Terminated,Class III,Sato Pharmaceutical Inc.,20191001,Voluntary: Firm initiated,Torrance,CA
"Voriconazole 10 mg/mL opthalmic solution packaged in an opaque squeeze bottle eye dropper, Martin Avenue Pharmacy, 1247 Rickert Dr, Naperville, IL.","Lack of Assurance of Sterility: Martin Avenue Pharmacy, Inc. is conducting a voluntary recall of all compounded sterile preparations within expiry. The recall is being initiated in connection with a recent FDA inspection due to observations associated with certain quality control procedures that present a risk to sterility assurance.",Terminated,Class II,"Martin Avenue Pharmacy, Inc.",20140827,Voluntary: Firm initiated,Naperville,IL
"Lisinopril Tablets USP 20 mg, packaged in a) 15-count blister card (NDC 0615-7718-05), b) 30-count blister card (NDC 0615-8255-39), Rx only, Mfd By Lupin, PKG by Vangard Glasgow, KY 42141.",Presence of Foreign Tablets: Potential of stray tablet(s) of Amlodipine Besylate 10 mg Tablet within the recalled lots,Terminated,Class III,NCS Healthcare of Kentucky Inc,20231027,Voluntary: Firm initiated,Glasgow,KY
"Medline General Purpose Kit, Sterile, Single use only. Packaged in Mexico for Medline Industries, Inc., Northfield, IL 60093",Subpotent Drug:The titratable iodine contained in the Povidone-Iodine prep pads  is below label claim of 0.85%.,Terminated,Class II,Medline Industries Inc,20170921,Voluntary: Firm initiated,Northfield,IL
"ZINC SULFATE Capsule, 220 mg, Over The Counter, Distributed by: AidaPak Service, LLC, NDC 60258013101","Labeling:Label Mixup; ZINC SULFATE Capsule, 220 mg may be potentially mislabeled as    CALCIUM ACETATE, Capsule, 667 mg, NDC 00054008826, Pedigree: AD52778_10, EXP: 5/20/2014;  CALCITRIOL, Capsule, 0.25 mcg, NDC 00054000725, Pedigree: W003638, EXP: 6/25/2014.",Terminated,Class II,"Aidapak Services, LLC",20130702,Voluntary: Firm initiated,Vancouver,WA
"Medline Vitrectomy CDS Pack, Single Use Only. Packaged in Mexico for Medline Industries, Inc., Northfield, IL 60093",Subpotent Drug:The titratable iodine contained in the Povidone-Iodine prep pads  is below label claim of 0.85%.,Terminated,Class II,Medline Industries Inc,20170921,Voluntary: Firm initiated,Northfield,IL
"B-Complex 100 mg/mL Injectable, 50 mL vials, compounded by The Compounding Shop, St. Petersburg, FL",Lack of Assurance of Sterility: FDA inspection findings resulted in concerns regarding quality control processes,Terminated,Class II,"THE COMPOUNDING SHOP, INC.",20130502,Voluntary: Firm initiated,St Petersburg,FL
"Pravastatin Sodium Tablets, USP, 80mg, a).90-count bottle (16714-570-01), b). 500-count bottle (NDC 16714-570-02), Rx Only, Mfd for: Northstar Rx LLC, Memphis, TN 38141, Mfd by: Glenmark Pharmaceuticals Limited, Pithampur, Madhya Pradesh 454775, India",CGMP Deviations,Ongoing,Class II,"Glenmark Pharmaceuticals Inc., USA",20250313,Voluntary: Firm initiated,Mahwah,NJ
"S-CALM INJECTION, (MAG S04/GABAPENTIN/TAURINE/THEANINE 50/50/50/50MG/ML) MDV,  10 ml glass vial, Red Mountain Compounding Rx",Lack of Assurance of Sterility,Terminated,Class II,"First Royal Care Co. LLC, dba Red Mountain Compounding Pharmacy",20190812,Voluntary: Firm initiated,Mesa,AZ
"Ampicillin and Sulbactam for Injection, USP 3 grams per vial, Rx only, Mfd for Meitheal Pharmaceuticals Chicago, IL 60631, NDC 71288-006-30",Lack of Assurance of Sterility,Terminated,Class II,Astral SteriTech Private Ltd.,20230515,Voluntary: Firm initiated,Vadodara,N/A
"METFORMIN HYDROCHLORIDE EXTENDED- RELEASE 500MG, 180 TABLETS, Packaged BY: A-S Medication Solutions, Libertyville, IL 60048 NDC 50090-1494-3.",Presence of Foreign Tablets/Capsules.,Ongoing,Class II,A-S Medication Solutions LLC,20250225,Voluntary: Firm initiated,Libertyville,IL
"Gabapentin Capsules, USP 100mg 1,000-count bottles, Rx only, Distributed by: Aurobindo Pharma USA, Inc. Dayton, NJ 08810, NDC 65862-198-99",CGMP Deviations: Products were manufactured in a processing area in which water leakage was observed,Terminated,Class II,Aurobindo Pharma USA Inc.,20200318,Voluntary: Firm initiated,East Windsor,NJ
"MEDICALLY MINDED Hand Sanitizer Gel, ANTIMICROBIAL FORMULA, (Ethyl Alcohol 70% v/v), 8.5 FL OZ / 250 mL bottle, Made in Mexico, Distributed by SBL Brands, LLC Las Vegas, NV 89119. UPC:  6 76753 00359 1 ,",CGMP Deviations:  lots and products of hand sanitizer are being recalled because they were manufactured under the same conditions as the product lot found to contain methanol.,Ongoing,Class II,Global Sanitizers LLC,20210512,Voluntary: Firm initiated,Las Vegas,NV
"fentaNYL CITRATE 4 MCG/mL in 0.9% SODIUM CHLORIDE Injection, in 1 mL Syringe, Rx Only, Cantrell Drug Co., Little Rock, AR ---  UPC: 9999993491",Subpotent Drug,Terminated,Class I,Cantrell Drug Company,20150821,Voluntary: Firm initiated,Little Rock,AR
"QUAD MIX 50/30/1/0.2 5ML MDV (CALIF) MCG/MG/MG/MG/ML INJ, Injection, 50mcg/30mg/1mg/0.2mg/mL, Rx only, 5 mL Glass/Multiple Dose vial, Prepared by Key Compounding Pharmacy",Lack of Assurance of Sterility: The firm is recalling sterile compounded drugs within expiry due to lack of assurance of sterility.,Terminated,Class II,Key Pharmacy and Compounding Center,20170418,Voluntary: Firm initiated,Federal Way,WA
"Tatiomax (reduced glutathione/hydrolyzed collagen) powder for injection vials, 1200 mg/200 mg, 10-count vials per box, Manufactured by: Sujie Pharmaceutical Ltd., Tokyo, Japan, UPC 4973430081576",Marketed Without An Approved NDA/ANDA: Product is sold over the counter whose labeling includes drug claims to act as an antidote.,Completed,Class II,Flawless Beauty LLC,20140429,Voluntary: Firm initiated,Asbury Park,NJ
"Bevacizumab Prefilled 30g and 31 gram 1.25mg/0.05mL Syringes, Rx only, Bella Pharma 3101 W. Devon Ave., Chicago, IL 60659, 1 (877) BELLA.",Lack of Assurance of Sterility.,Terminated,Class II,"Bella Pharmaceuticals, Inc.",20170815,Voluntary: Firm initiated,Chicago,IL
"Esomeprazole Magnesium Delayed-Release Capsules, USP 20mg, Rx Only, 90 Capsules per bottle, Manufactured by: Ohm Laboratories Inc. New Brunswick, NJ 08901, Distributed by: Sun Pharmaceutical Industries, Inc. Cranbury, NJ 08512, NDC 63304-734-90.",Superpotent Drug: Out of specification for assay at the 12-month timepoint.,Terminated,Class III,SUN PHARMACEUTICAL INDUSTRIES INC,20220621,Voluntary: Firm initiated,Princeton,NJ
"Thyroid Powder, USP, 25kg/drum, Rx Only, Sichuan Friendly Pharmaceutical Co., LTD. NDC: 070870-1701-1",CGMP Deviations: Thyroid Powder has inconsistent levels of the active ingredients levothyroxine and liothyronine.,Terminated,Class II,LGM Pharma LLC,20180824,Voluntary: Firm initiated,Erlanger,KY
"0.9% Sodium Chloride Injection USP, 50 mL Single Dose VIAFLEX Container bags, Rx only, Baxter Healthcare Corporation, Deerfield, IL  60015, Product Code 2B1301, NDC 0338-0049-11.",Presence of Particulate Matter: Customer complaint for an insect found free floating inside a single bag for each lot recalled.,Terminated,Class I,Baxter Healthcare Corp.,20150717,Voluntary: Firm initiated,Deerfield,IL
"HCG 10000u, Main Street Compounding Pharmacy, 126 East Main Street, Newbern, TN 38059, 888-658-6200",The firm received seven reports of adverse reactions in the form of skin abscesses potentially linked to compounded preservative-free methylprednisolone 80mg/ml 10 ml vials.,Terminated,Class II,"Main Street Family Pharmacy, LLC",20130528,Voluntary: Firm initiated,Newbern,TN
"Fluorouracil Topical Cream USP, 5%, 40 g Tube, Rx only, Mfd. by: Taro Pharmaceutical Industries, Ltd. Haifa Bay, Israel 26110, Dist. by: Taro Pharmaceuticals U.S.A., Inc. Hawthorne, NY 10532, NDC 51672-4118-6.",Product Lacks Stability: Out-of-specification (OOS) results were observed for assay and description in retain samples.,Terminated,Class II,"Taro Pharmaceuticals U.S.A., Inc.",20121121,Voluntary: Firm initiated,Hawthorne,NY
PEPCID COMPLETE CHEWABLE TAB BERRY 8CT SKU 903365   PEPCID AC MAXIMUM STRENGTH TABLET 25 CT SKU 902063   PEPCID AC MAXIMUM STRENGTH TABLET 8 CT SKU 914773 distributed to specific Family Dollar Stores 04/30/2022 through 06/10/2022.,CGMP Deviations: product held outside appropriate storage temperature conditions.,Ongoing,Class II,"Family Dollar Stores, Llc.",20220623,Voluntary: Firm initiated,Chesapeake,VA
"L-Cysteine Hydrochloride Injection, USP, 50 mg/mL, 50 mL Pharmacy Bulk Package Vials (NDC 66758-005-01), packaged in 5 x 50 mL Vials per carton(NDC 66758-005-02), Rx only, Manufactured for: Sandoz, Inc., Princeton, NJ.",Lack of Assurance of Sterility: a recent FDA inspection at the manufacturing firm raised concerns that the product sterility may be compromised.,Terminated,Class II,Sandoz Inc,20161109,Voluntary: Firm initiated,Princeton,NJ
"Desoximetasone Ointment USP, 0.25%, packaged in a) 100 grams tubes, NDC 52565-030-99; b) 60 grams tubes, NDC 52565-030-60; c) 15 grams tubes, NDC 52565-030-15, Rx Only, Teligent Pharma, Inc., Buena, New Jersey 08310.",cGMP deviations: all products within expiry are being recalled because the firm is discontinuing its stability study program.,Terminated,Class II,"Teligent Pharma, Inc.",20220315,Voluntary: Firm initiated,Buena,NJ
"Lisinopril & Hydrochlorothiazide Tables, USP 20mg/12.5mg, packaged in a)100-count bottles and b) 5000-count bottles, Rx only, Manufactured for: Lupin Pharmaceuticals, Inc. Baltimore, Maryland 21202, Manufactured by: Lupin Limited Pithampur (M.P.) 454 775 India, a) NDC 68180-519-01, b) 68180-519-30",CGMP Deviations: finished products manufactured using active pharmaceutical ingredients whose intermediates failed specifications.,Terminated,Class III,Lupin Pharmaceuticals Inc.,20160404,Voluntary: Firm initiated,Baltimore,MD
"HYDROMORPHONE 0.2MG/ML IN NACL 0.9% SYR (C-II) , [a) 50 ML NDC 70731-0114-89; b) 55 ML NDC 70731-0114-95] per syringe, RXQ Compounding, 340 West State Street, Unit 9, Athens, OH 45701.",Lack of Assurance of Sterility,Terminated,Class II,RXQ Compounding LLC,20190619,Voluntary: Firm initiated,Athens,OH
"SOTALOL HCL, Tablet, 80 mg, Rx only, Distributed by: AidaPak Service, LLC, NDC 00093106101.","Labeling: Label Mixup: SOTALOL HCL, Tablet, 80 mg may have potentially been mislabeled as one of the following drugs:  DILTIAZEM HCL, Tablet, 120 mg, NDC 00093032101, Pedigree: AD30197_1, EXP: 5/9/2014;  PROPRANOLOL HCL ER, Capsule, 60 mg, NDC 00228277811, Pedigree: AD54605_4, EXP: 5/20/2014.",Terminated,Class II,"Aidapak Services, LLC",20130702,Voluntary: Firm initiated,Vancouver,WA
"Humanrace Suncare, Ozone Face Protection Daily Moisturizer, Broad Spectrum Sunscreen SPF 30, packaged as a 53mL (1.8 fl oz.) bottle, 100% mineral, Active Ingredient: Zinc oxide 15%, Snow Mushroom, Dist. By: @Humanrace 2022 Beverly Hills, CA 90210, USA, NDC 82779-01",Subpotent Drug: Product does not contain SPF that is declared on the label.,Ongoing,Class II,HUMANRACE,20230818,Voluntary: Firm initiated,Beverly Hills,CA
QP LAXATIVE BISACODYL 5 MG TABLET 50 CT SKU 902449   QP WOMEN LAXATIVE BISCODYL TABLET 25 CT SKU 915221  distributed to specific Family Dollar Stores 04/30/2022 through 06/10/2022.,CGMP Deviations: product held outside appropriate storage temperature conditions.,Ongoing,Class II,"Family Dollar Stores, Llc.",20220623,Voluntary: Firm initiated,Chesapeake,VA
CYCLOPENT/PHENYLEPH/TROPICAMIDE/PROPARACAINE 2%/2.5%/1%/0.5% OPHTHALMIC 5 ML (1 PRODUCT),Lack of Assurance of Sterility: Franck's Lab Inc. initiated a recall of all Sterile Human Drugs distributed between 11/21/2011 and 05/21/2012 because FDA environmental sampling revealed the presence of microorganisms and fungal growth in the clean room where sterile products were prepared.,Terminated,Class II,"Franck's Lab Inc., d.b.a. Franck's Compounding Lab",20120525,Voluntary: Firm initiated,Ocala,FL
"ICEE BLUE RASPBERRY SCENTED ANTIBACTERIAL HAND GEL (Ethyl Alcohol 62%), 1.35 fl oz / 40 mL, OTC, Distributed by: JFL Enterprises, Inc. Cleveland, Ohio 44102.",CGMP deviations: Stability testing was not conducted on manufactured sunscreen and hand sanitizer OTC products.,Terminated,Class III,"NingBo Huize Commodity Co.,Ltd.",20190401,Voluntary: Firm initiated,Yuyao,N/A
"LEADER brand Dry Eye Relief (Polyethylene Glycol 400, 0.4% Propylene Glycol, 0.3%); 0.33 FL OZ (10 mL) dropper bottle, Sterile, Distributed By Cardinal Health, Dublin, Ohio 43017, Made in India NDC: 70000-0088-1",Non-Sterility: FDA found insanitary conditions and positive bacterial test results from environmental sampling at the manufacturing facility.,Ongoing,Class I,Cardinal Health Inc.,20231031,Voluntary: Firm initiated,Dublin,OH
"fentaNYL as citrate 2 mcg / mL, ROPIVacaine HCl 0.1%, Total Fentanyl Dose (200 mcg per 100 mL) in 0.9% Sodium Chloride single dose CADD Cassette  Rx Only, SCA Pharmaceuticals 8821 Knoedl Ct Little Rock, AR 72205, NDC 70004-0264-64",Lack Of Assurance Of Sterility.,Terminated,Class II,"SCA Pharmaceuticals, LLC",20171019,Voluntary: Firm initiated,Little Rock,AR
"TRI-BLEACHING CREAM (Retinoic Acid 0.1%, Hydroquinone 4%, Fluocinolone 0.01%), Rx only, Synergy RX, 4901 Morena Blvd # 504-A San Diego, CA 92117 (855) 792-6676",Lack of Assurance of Sterility: There are also CGMP Deviations.,Terminated,Class II,Synergy Rx,20170210,Voluntary: Firm initiated,San Diego,CA
"Morphine 25 mg/ml + Bupivacaine 20 mg/ml + Clonidine 2,000 mcg/ml Solution, Sterile, Preservative Free, The Compounding Pharmacy of America, Knoxville, TN",Lack of Assurance of Sterility; FDA inspection identified GMP violations potentially impacting product quality and sterility,Terminated,Class II,The Compounding Pharmacy of America,20150602,Voluntary: Firm initiated,Knoxville,TN
"vancomycin added to 0.9% sodium chloride, 2 g/500 mL* (4 mg/mL), 500 mL per bag, Rx only, Central Admixture Pharmacy Services, Inc., 6580 Snowdrift Rd., Ste 100, Allentown, PA  18106, NDC 71285-6078-1.",Lack of Assurance of Sterility: after an FDA inspection called into question the sterility of the products intended to be sterile.,Terminated,Class II,"Central Admixture Pharmacy Services, Inc.",20230428,Voluntary: Firm initiated,Allentown,PA
"Good Neighbor Pharmacy, Alcohol Prep Pads, Distributed By AmeriSource Bergen, 1 West First Avenue, Conshohocken, PA 19428, Made in China: 100 eaches per box, 30 boxes per case, (3,000 eaches per case), NDC 46122-043-78.",Subpotent Drug- isopropyl alcohol levels fall below the labeled concentration.,Ongoing,Class II,"MEDLINE INDUSTRIES, LP - Northfield",20250707,Voluntary: Firm initiated,Northfield,IL
"Bethel Advance (bitter orange, mulberry leaf, cassia seed extract, jobstear seed, spirulina, starch, kola nut) capsules, 400 mg, 30-count bottles, Distributed by: Bethel, Inc., Tel: (212) 568-5330, UPC 1 60126 41750 9.","Marketed Without An Approved NDA/ANDA: FDA analyses detected the presence of phenolphthalein, N-di-Desmethylsibutramine, and trace amounts of sibutramine and N-Desmethylsibutramine. Sibutramine and phenolphthalein were previously available drug products but were removed from the U.S. market making these products unapproved new drugs.",Terminated,Class I,"Bethel Nutritional Consulting, Inc",20130805,Voluntary: Firm initiated,New York,NY
"Ivermectin Tablets USP 3 mg 20 Tablets (2 Foil Strips of 10 tablets each) Rx Only NDC 4799-806-01 Manufactured for: Edenbridge Pharmaceuticals, LLC Parsippany, NJ 07054 877-381-3336",CGMP Deviations: Intermittent exposure to temperature excursion during storage.,Terminated,Class II,Cardinal Health Inc.,20210315,Voluntary: Firm initiated,Dublin,OH
"ONDANSETRON 2 MG/ML INJECTION SOLUTION (PFV), 2 ML per vial, RXQ Compounding, 340 West State Street, Unit 9, Athens, OH 45701. NDC: 70731-0158-02",Lack of Assurance of Sterility,Terminated,Class II,RXQ Compounding LLC,20190619,Voluntary: Firm initiated,Athens,OH
"Bi-Mix Injection, (Alprostadil 40 mcg/Lidocaine 2 mg/mL) Pharm D Solutions, Houston, Texas --- NDC 69699-1305-03",Lack of Assurance of Sterility,Terminated,Class II,"Pharm D Solutions, LLC",20180910,Voluntary: Firm initiated,Houston,TX
"BuPROPion Hydrochloride Extended-release Tablets, USP (SR), 150 mg, packaged in a) 60-count bottles (NDC 59746-316-60) and b) 100-count bottles (NDC 59746-316-01), Rx only, Manufactured by: Julibant Life Sciences Ltd., Roorkee-247661, India; Marketed by: Jubilant Cadista Pharmaceuticals Inc., Salisbury, MD  21801, USA.","Failed Impurities/Degradation Specifications: high out of specification results for one of the known degradation products, m-chlorobenzoic acid.",Terminated,Class III,"Jubilant Cadista Pharmaceuticals, Inc.",20160408,Voluntary: Firm initiated,Salisbury,MD
"Dr. King's Natural Medicine Homeopathic Sciatic Nerve Formula, 2 fl. oz. (59 mL), King Bio, Inc., 3 Westside Dr. Asheville, NC 28806, UPC 357955503026, NDC 57955-6030-2",Microbial contamination,Terminated,Class I,King Bio Inc.,20180720,Voluntary: Firm initiated,Asheville,NC
"Ibuprofen Tablets, USP 600 mg, 500-count bottle (Capsule Shaped), Rx only, Manufactured for: Time Cap Labs, Inc., 7 Michael Avenue Farmingdale, NJ 11735, USA, Manufactured by: Marksans Pharma Ltd. Plot No. L-82, L-83 Verna Indl. Estate, Verna, Goa-403 722, India, NDC 49483-603-50","Presence of  foreign tablets/capsules: Ibuprofen Tablets USP, 600 mg bottles were found to contain some Ibuprofen Tablets USP 800 mg.",Terminated,Class II,"Time-Cap Laboratories, Inc.",20170616,Voluntary: Firm initiated,Farmingdale,NY
"Methylcobalamin 5000 mcg/mL Injection, packaged in 1, 2, 3, 4, and 5 mL vials, IM, Rx, The Apothecary Shoppe Compounding Pharmacy, Jenks, OK",Lack of Assurance of Sterility; medication was sterilized with a recalled filter,Terminated,Class II,The Apothecary Shoppe LLC,20160912,Voluntary: Firm initiated,Tulsa,OK
"HYDROCORTISONE 2.5% WITH ALOE VERA CREAM, Rx only, Synergy RX, 4901 Morena Blvd # 504-A San Diego, CA 92117 (855) 792-6676",Lack of Assurance of Sterility: There are also CGMP Deviations.,Terminated,Class II,Synergy Rx,20170210,Voluntary: Firm initiated,San Diego,CA
"0.9% Sodium Chloride Injection USP, L 8000, 1000mL Excel Container, Rx Only, Sterile, nonpyrogenic, single dose container, B. Braun Medical Inc., Bethlehem, PA 18018, NDC 0264-7800-00.",Lack of Assurance of Sterility; potential for fluid leakage at one of the weld sites.,Ongoing,Class II,B BRAUN MEDICAL INC,20250804,Voluntary: Firm initiated,Allentown,PA
"Skinny Bee Diet capsules, 500 mg, packaged in a 60-count bottle","Marketed without an approved NDA/ANDA: presence of undeclared sibutramine, desmethylsibutramine (an active metabolite of sibutramine) and phenolphthalein.",Terminated,Class I,Love My Tru Body,20161028,Voluntary: Firm initiated,McDonough,GA
"Polymyxin B for Injection USP, 500,000 Units per Vial, 10 mL vials, packaged in 10 vials per carton, Sterile, Rx Only, Distributed by: AuroMedics Pharma LLC, E. Windsor, NJ 08520, NDC 55150-234-10",Presence of Particulate Matter; product complaint of hair discovered in a vial within the lot,Terminated,Class I,AuroMedics Pharma LLC,20220126,Voluntary: Firm initiated,East Windsor,NJ
"HCG 23 Day, 2876 Units/4.6 mL Vial, Anderson Compounding Pharmacy 310 Bluff City Hwy, Bristol, TN.",Lack of sterility assurance.,Terminated,Class II,"Anderson Compounding Pharmacy, Inc. DBA Anderson Compounding Pharmacy",20190402,Voluntary: Firm initiated,Bristol,TN
"Testosterone 200 mg/Anastrozole 9 mg Pellet, Compounded by: Wells Pharmacy Network",Superpotent and Subpotent drugs,Terminated,Class II,"Wells Pharmacy Network, LLC",20160919,Voluntary: Firm initiated,Dyersburg,TN
"Oxygen, Compressed USP UN1072 Medical Gas supplied in a) 682 litres and b)165 litres cylinders, Rx only, Oklahoma Respiratory Care 800.262.9857, Norman, OK 73071",Failed impurities/degradation specifications: Purity readings for oxygen were out of specification.,Terminated,Class II,Oklahoma Respiratory Care Inc,20121205,Voluntary: Firm initiated,Norman,OK
"Dr. King's Aquaflora Kids Candida Relief  Homeopathic, 4 fl. oz. (118 mL), King Bio, Inc., 3 Westside Dr. Asheville, NC 28806 USA, UPC 357955332244",Microbial contamination,Terminated,Class I,King Bio Inc.,20180720,Voluntary: Firm initiated,Asheville,NC
"Cyclosporin in Corn Oil Injectable  Balanced Solutions, Compounding Pharmacy a division of Axium Healthcare Pharmacy, Inc., Lake Mary, FL 32746","Lack of Assurance of Sterility:All sterile products compounded, repackaged, and distributed by this  compounding pharmacy due to lack of sterility assurance and concerns associated with the quality control processes.",Terminated,Class II,Axium Healthcare Pharmacy dba Balanced Solutions Compounding,20130417,Voluntary: Firm initiated,Lake Mary,FL
