nct_id,title,official_title,status,why_stopped,phase,study_type,enrollment,conditions,drug_names,intervention_types,primary_outcomes,start_date,completion_date,sponsor,sponsor_type
NCT04401618,Retrospective Evaluation of RMGI/GI Class V Restorations,Retrospective Clinical Evaluation of RMGI/GI Class V Restorations Placed by Dental Students,COMPLETED,,,OBSERVATIONAL,36,"Material, Dental",,OTHER,"Post-Operative Sensitivity, Secondary Caries, Anatomic Form, Color match, Surface Roughness, Marginal Discolouration, Marginal Integrity",2016-07,2019-05,"Western University, Canada",OTHER
NCT05435118,Use of the Equimolar Mixture of Oxide Nitrous and Oxygen (EMONO) Associated With Audiovisuals in Children,Use of the Equimolar Mixture of Oxide Nitrous and Oxygen (EMONO) Associated With Audiovisuals During Peripheral Venous Access Insertion of Children Between 2-5 Years Old Children,COMPLETED,,NA,INTERVENTIONAL,120,"Pain, Acute, Child, Only, Nurse's Role, Nitrous Oxide",,OTHER,collaboration,2023-08-17,2024-04-22,Azienda Socio Sanitaria Territoriale di Lodi,OTHER
NCT06316518,"The Effect of Mindfulness-Based Web-Based Stress Reduction Program Applied to Primigravidas on Perceived Stress Level in Pregnancy, Birth Self-Efficacy and Prenatal Attachment","The Effect of Mindfulness-Based Web-Based Stress Reduction Program Applied to Primigravidas on Perceived Stress Level in Pregnancy, Birth Self-Efficacy and Prenatal Attachment",NOT_YET_RECRUITING,,NA,INTERVENTIONAL,90,Pregnancy Related,,OTHER,"Pregnancy Stress Assessment Scale (PSAS), Self-Efficacy Scale for Normal Childbirth, Prenatal Attachment Inventory (PAI)",2024-06-01,2025-05-01,Ataturk University,OTHER
NCT05650918,MesoPher/Mitazalimab-combination Therapy in Metastatic Pancreatic Disease (REACtiVe-2 Trial),Dendritic Cells Loaded With Allogeneic Tumor Lysate (MesoPher) in Combination With a CD40 Agonist (Mitazalimab) in Metastatic Pancreatic Disease,COMPLETED,,PHASE1,INTERVENTIONAL,22,Metastatic Pancreatic Cancer,"MesoPher, Mitazalimab","BIOLOGICAL, BIOLOGICAL",Incidence of Dose Limiting Toxicities (DLTs) as assessed by CTCAE v5.0,2021-08-30,2023-05-23,"Joachim Aerts, MD PhD",OTHER
NCT02722018,Study to Investigate the Effect of Formulation and Food on the Pharmacokinetics of GDC-0810,"A Phase I, Randomized, Open-Label, Single Center Study to Investigate the Effect of Formulation and Food on the Pharmacokinetics of GDC-0810 in Female Healthy Subjects on Non-Childbearing Potential",COMPLETED,,PHASE1,INTERVENTIONAL,45,Healthy Volunteer,"GDC-0810 Phase II Tablet, GDC-0810 Phase III Prototype Tablet","DRUG, DRUG","Maximum Observed Plasma Concentration (Cmax) of GDC-0810, Time to Reach Cmax (Tmax) of GDC-0810, Area Under the Plasma Concentration Versus Time Curve From Time Zero to Time of Last Quantifiable Concentration (AUC0-t) of GDC-0810, Area Under the Plasma Concentration Versus Time Curve From Time Zero to Extrapolated Infinite Time (AUC0-inf) of GDC-0810, Apparent Terminal Elimination Rate Constant (lambda Z) of GDC-0810, Apparent Terminal Elimination Half-Life (t1/2) of GDC-0810, Apparent Oral Clearance (CL/F) of GDC-0810, Apparent Volume of Distribution (Vz/F) of GDC-0810, Relative Bioavailability Based on Cmax (Frel Cmax) of GDC-0810 (Test vs Reference), Relative Bioavailability Based on AUC0-t (Frel AUC0-t) of GDC-0810 (Test vs Reference), Relative Bioavailability Based on Cmax (Frel Cmax) of GDC-0810 (Fed vs Fasted), Relative Bioavailability Based on AUC0-t (Frel AUC0-t) of GDC-0810 (Fed vs Fasted)",2016-01-06,2016-09-13,"Genentech, Inc.",INDUSTRY
NCT00982618,Functional Restoration After Abdominal and Pelvic Laparoscopic Surgery: Effect of Perioperative Intravenous Lidocaine,Post Operative Functional Restoration in Patients Undergoing Major Abdominal and Pelvic Laparoscopic Surgery: Effect of Perioperative Intravenous Lidocaine,COMPLETED,,NA,INTERVENTIONAL,60,"Colon Cancer, Inflammatory Bowel Diseases, Diverticulitis","Lidocaine, PCA Morphine","DRUG, PROCEDURE, DRUG",Postoperative functional recovery,2009-07,2011-06,McGill University Health Centre/Research Institute of the McGill University Health Centre,OTHER
NCT00947518,Safety of Skin Cleansing With Chlorhexidine in Preterm Low Birth Weight Infants,"Does Skin Cleansing With Chlorhexidine Affect Skin Condition, Temperature and Colonization in Hospitalized Preterm Low Birth Weight Infants?: A Randomized Clinical Trial",COMPLETED,,NA,INTERVENTIONAL,60,"Neonatal Sepsis, Low Birth Weight","Chlorhexidine, Normal saline","DRUG, DRUG","Median Skin Condition Score on the 9-point Skin Condition Grading Scale Adapted by Darmstadt From Lane et al, Skin Temperature at 30 Min After Intervention, Number of Participants With Positive Skin Culture at Axilla",2005-08,2006-02,All India Institute of Medical Sciences,OTHER
NCT05096390,Axitinib +/- Pembrolizumab in First Line Treatment of mPRCC,Multicenter Phase II Study of Axitinib +/- Pembrolizumab in First Line Treatment for Patients With Locally Advanced or Metastatic Papillary Renal Cell Carcinoma (PRCC),RECRUITING,,PHASE2,INTERVENTIONAL,72,Papillary Renal Cell Carcinoma Type 2,"Axitinib Oral Tablet [Inlyta], Pembrolizumab Injection [Keytruda]","DRUG, DRUG",Efficacy of axitinib + pembrolizumab versus axitinib in patients with locally advanced or metastatic type 2 papillary renal carcinoma in first-line treatment.,2022-06-01,2026-06,Centre Leon Berard,OTHER
NCT00282490,Surface Nerve Stimulation Treatment for OAB in Children,Sacral Transcutaneous Nerve Stimulation Treatment for Functional Daytime Incontinence in Children With Over Active Bladder Syndrome,COMPLETED,,NA,INTERVENTIONAL,30,"Overactive Bladder, Urinary Incontinence",,DEVICE,"Clinical effects evaluated by home registrations of degree of incontinence, VAS score of degree of urgency and frequency volume charts at specified intervals. Acute effect evaluated by urodynamics.",2006-02,2008-03,University of Aarhus,OTHER
NCT02618590,A Retrospective Study About Treatment Strategy After First/Second Line EGFR-TKI Failure,"Which Treatment Strategy is Best in Non-small Cell Lung Cancer Patients Harboring EGFR Mutant Type After First/Second Line EGFR-TKI Failure, a Retrospective Study",UNKNOWN,,,OBSERVATIONAL,800,Non-Small Cell Lung Cancer,,,Progression Free Survival 2 (PFS2),2015-06,2016-12,Sun Yat-sen University,OTHER
NCT02566590,Preventing the Loss of Muscle and Function in Hospitalized Older Adults,Preventing the Loss of Muscle and Function in Hospitalized Older Adults,COMPLETED,,NA,INTERVENTIONAL,20,Muscular Atrophy,,"DEVICE, DIETARY_SUPPLEMENT, DIETARY_SUPPLEMENT",The Percent Change in Bilateral Thigh Lean Mass Density (Grams) as Measured by DEXA Scan Will be Compared Between Baseline and After 5-days of Bed Rest,2015-01,2016-12,University of Utah,OTHER
NCT05209490,Ultrasound-guided Femoral Nerve Block Without Electrical Stimulation of Peripheral Nerves,Femoral Nerve Block: Comparison of the Effectiveness of Ultrasound Control Versus Ultrasound Control With Electrical Stimulation of Peripheral Nerves,COMPLETED,,NA,INTERVENTIONAL,40,"Nerve Block, Efficiency, Femoral Nerve, Ultrasonography",,"PROCEDURE, PROCEDURE",Сomplete sensory femoral nerve block,2022-02-01,2022-06-30,Mogilev Regional Clinical Hospital,OTHER_GOV
NCT06947590,Efficacy of Mavacamten in Patients With Symptomatic Latent Obstructive Hypertrophic Cardiomyopathy,Efficacy of Mavacamten in Patients With Symptomatic Latent Obstructive Hypertrophic Cardiomyopathy: A Randomized Controlled Trial,ACTIVE_NOT_RECRUITING,,NA,INTERVENTIONAL,78,"HCM - Hypertrophic Cardiomyopathy, Mavacamten",mavacamten,DRUG,The change in peak left ventricular outflow tract (LVOT) gradient,2025-04-20,2026-02-01,Xu Liu,OTHER
NCT01972490,Avastin in Combination With Chemotherapy for RAS Mutant Unresectable Colorectal Liver-limited Metastases,Study of Avastin in Combination With Chemotherapy for the First Line Treatment of RAS Mutant Unresectable Colorectal Liver-limited Metastases,COMPLETED,,PHASE4,INTERVENTIONAL,241,Colorectal Neoplasms,"avastin, mFOLFOX6","DRUG, DRUG",the rate of patients converted to resection for liver metastases,2013-10,2019-06,Xu jianmin,OTHER
NCT03973190,Evaluation of Bone Quality and Primary and Secondary Stability of Implants Installed in Alveolar Regeneration Area by Three Different Techniques,Evaluation of Bone Quality and Primary and Secondary Stability of Implants Installed in Alveolar Regeneration Area by Three Different Techniques,UNKNOWN,,NA,INTERVENTIONAL,30,Alveolar Osseous Loss,,"PROCEDURE, PROCEDURE, DEVICE",ISQ analysis,2018-08-01,2020-08-30,Federal University of Juiz de Fora,OTHER
NCT04467190,Investigation of Inflammacheck to Measure Exhaled Breath Condensate Hydrogen Peroxide in Respiratory Conditions,"A Single Visit, Cross-sectional, Observational Study of EBC H2O2 Levels and Other Exhaled Breath Condensate Parameters as Measured by Inflammacheck, in People With a Variety of Respiratory Conditions and Volunteers With no Known Lung Disease",COMPLETED,,,OBSERVATIONAL,425,Respiratory Disease,,,"To measure the levels of H2O2 in EBC in patients with a range of commonly occurring respiratory conditions, To measure humidity levels in EBC in patients with a range of commonly occurring respiratory conditions, To measure the breath temperature in EBC in patients with a range of commonly occurring respiratory conditions, To measure CO2 waveform in patients with a range of commonly occurring respiratory conditions, To measure intrathoracic pressure in patients with a range of commonly occurring respiratory conditions",2019-09-13,2022-10-13,Portsmouth Hospitals NHS Trust,OTHER_GOV
NCT02922790,Feasibility and Smokers' Reactions to DNA Feedback,Feasibility and Smokers' Reactions to DNA Feedback,COMPLETED,,NA,INTERVENTIONAL,39,Smoking,,"BEHAVIORAL, BEHAVIORAL, BEHAVIORAL","Degree of participant understanding of materials, to be measured by a survey, Percentage of subjects who show up to the sessions, Extent to which participants believe the feedback to be accurate, Degree of participant understanding of materials, to be measured by an interview, Percentage of subjects who show up to the sessions, Extent to which participants believe the feedback to be trustworthy, Extent to which participants believe the feedback to be accurate, Extent to which participants believe the feedback to be trustworthy",2017-02-14,2017-07-24,Duke University,OTHER
NCT02069990,"Controlled, Randomized, Four-arm Comparative, Open Label, Multi-centric Clinical Trial to Compare the Efficacy and Safety Parameters of the Once-a-week or Once-a-month Administered 7000 IU, or 30000 IU Vitamin D (Cholecalciferol) to a 1000 IU Dosage Applied Daily in Vitamin D Deficient Patients",,COMPLETED,,PHASE3,INTERVENTIONAL,89,Vitamin D Deficiency,Cholecalciferol,DRUG,Serum 25-OH-Vitamin-D level,2013-03,2013-09,Semmelweis University,OTHER
NCT03598790,A Study to Evaluate the Efficacy and Safety of Bimekizumab in Adult Subjects With Moderate to Severe Chronic Plaque Psoriasis,"A Multicenter, Open-Label Study to Assess the Long-Term Safety, Tolerability, and Efficacy of Bimekizumab in Adult Subjects With Moderate to Severe Chronic Plaque Psoriasis",COMPLETED,,PHASE3,INTERVENTIONAL,1353,"Chronic Plaque Psoriasis, Moderate to Severe Chronic Plaque Psoriasis",Bimekizumab,DRUG,Number of Treatment Emergent Adverse Events (TEAEs) Adjusted by Duration of Subject Exposure to Investigational Medicinal Product (IMP),2018-09-05,2023-11-14,UCB Biopharma SRL,INDUSTRY
NCT06738290,Predicting Motor Learning of an Upper Limb Task Based on Behavioral and Disease-specific Characteristics in Patients With Parkinson's Disease,Predicting Motor Learning of an Upper Limb Task Based on Behavioral and Disease-specific Characteristics in Patients With Parkinson's Disease,COMPLETED,,,OBSERVATIONAL,100,Parkinson Disease,,BEHAVIORAL,Overall learning effects of training on the average slide duration in ST condition,2022-01-10,2024-12-13,KU Leuven,OTHER
NCT06987890,Practical Geriatric Assessment in Older Adults With Non-Small Cell Lung Cancer Undergoing Stereotactic Body Radiation Therapy,Practical Geriatric Assessment in Older Adults With Non-Small Cell Lung Cancer Undergoing Stereotactic Body Radiation Therapy,RECRUITING,,NA,INTERVENTIONAL,64,"Lung Cancer (NSCLC), Geriatric Assessment, Stereotactic Body Radiation Therapy (SBRT)",,OTHER,Rate of referral to recommended supportive care services,2025-05-26,2026-06-26,Brigham and Women's Hospital,OTHER
NCT06643390,A Study of MK-2225 in Healthy Participants (MK-2225-003),"A Multiple Ascending Dose Clinical Study to Evaluate the Safety, Tolerability and Pharmacokinetics of MK-2225 in Healthy Participants",COMPLETED,,PHASE1,INTERVENTIONAL,32,Systemic Sclerosis,MK-2225,"DRUG, OTHER","Number of Participants Who Experience an Adverse Event (AE), Number of Participants Who Discontinue Study Treatment Due to an AE",2023-11-21,2025-07-14,Merck Sharp & Dohme LLC,INDUSTRY
NCT04003090,Citicoline Concentration in Human Vitreous,Evaluation of Citicoline Concentration in Human Vitreous After Topical Administration: a Cross-sectional Study,COMPLETED,,NA,INTERVENTIONAL,26,Neurodegenerative Diseases,Citicoline,DRUG,Citicoline and metabolites concentration in human vitreous,2018-03-21,2019-01-31,Istituto di Ricerca Neuroftalmologia S.r.l.,NETWORK
NCT06993597,Study of Corneal Biomechanics in Glaucoma Patients Using Brillouin Microscopy,Development of Robust Corneal Biomechanical Biomarkers for Glaucoma Using Brillouin Microscopy,RECRUITING,,,OBSERVATIONAL,60,Glaucoma,"Prostaglandin Analogue -Containing IOP-Lowering Therapy, Beta Blocker","DRUG, DRUG, DEVICE",Change in Corneal Biomechanical Modulus,2025-09-01,2026-06,"University of Maryland, Baltimore",OTHER
NCT03373097,Anti-GD2 CAR T Cells in Pediatric Patients Affected by High Risk and/or Relapsed/Refractory Neuroblastoma or Other GD2-positive Solid Tumors,Phase I/II Study of Anti-GD2 Chimeric Antigen Receptor-Expressing T Cells in Pediatric Patients Affected by High Risk and/or Relapsed/Refractory Neuroblastoma or Other GD2-positive Solid Tumors,ACTIVE_NOT_RECRUITING,,"PHASE1, PHASE2",INTERVENTIONAL,42,"Neuroblastoma, Neuroblastoma Recurrent, GD2-positive Solid Tumors, Osteosarcoma, Ewing Sarcoma, Sarcoma",GD2-CART01,BIOLOGICAL,"Phase I - Identification of the dose limiting toxicity (DLT), Phase II - Antitumor effect",2018-01-05,2027-12,Bambino Gesù Hospital and Research Institute,OTHER
NCT02229097,Efficacy of Coordinated Insulin Boluses in Type 1 Diabetic Patients,"Clinical Efficacy of Coordinated Boluses in Type 1 Diabetic Patients Treated With Insulin Pumps: a Multicentric, Randomised, Cross Over Study",COMPLETED,,PHASE4,INTERVENTIONAL,17,Type 1 Diabetes,"Normal bolus, Coordinated bolus","DRUG, DRUG",postprandial glycaemia,2014-10,2016-11,"University Hospital, Toulouse",OTHER
NCT02673697,Perceval Sutureless Implant Versus Standard-Aortic Valve Replacement,Perceval Sutureless Implant Versus Standard-Aortic Valve Replacement A Controlled Randomized Trial in the Surgical Treatment of Aortic Valve Disease,TERMINATED,Sponsor Decision,NA,INTERVENTIONAL,914,"Aortic Valve Disease, Aortic Stenosis",,"DEVICE, DEVICE",Proportion of Participants With Freedom From Major Adverse Cardiac and Cerebrovascular Events (MACCE),2016-03-22,2020-07-31,Corcym S.r.l,INDUSTRY
NCT01372397,Reversal of Obesity Cardiomyopathy,Reversal of Obesity Cardiomyopathy After Gastric Bypass,COMPLETED,,,OBSERVATIONAL,27,Cardiomyopathy,,,"Cardiac function, myocardial fat deposition",2010-05,2012-04-26,Washington University School of Medicine,OTHER
NCT01751997,Family-mismatched/Haploidentical Donors Versus Matched Unrelated Donors,The Comparison of Transplantation From Family-mismatched/Haploidentical Donors With Matched Unrelated Donors in Adult Patients With Acute Myeloid Leukemia,COMPLETED,,"PHASE2, PHASE3",INTERVENTIONAL,116,Acute Myeloid Leukemia,"Transplants from 8/8-matched Unrelated donors, Transplants from family-mismatched/haploidentical donors","DRUG, DRUG",Overall survival,2013-01,2019-12-31,Byung-Sik Cho,OTHER
NCT06957197,Clinical Comparison of Xenograft With Hydrogel Versus Xenograft Alone in the Socket Preservation After Tooth Extraction: A Randomized Controlled Clinical Trial,Clinical Comparison of Xenograft With Hydrogel Versus Xenograft Alone in the Socket Preservation After Tooth Extraction: A Randomized Controlled Clinical Trial,NOT_YET_RECRUITING,,PHASE3,INTERVENTIONAL,26,Socket Perservation,"Hydrogel with xenograft, Xenograft","DRUG, DRUG",Quantity of bone (bone height),2025-09-22,2026-08-20,Cairo University,OTHER
NCT03087097,Transfer of Healthy Gut Flora for Restoration of Intestinal Microbiota Via Enema for Patients in the Rehabilitative Phase of Malnutrition,"Transfer of Healthy Gut Flora for Restoration of Intestinal Microbiota Via Enema (THRIVE) for Patients in the Rehabilitative Phase of Malnutrition: A Pilot Study Evaluating Microbial Engraftment, Safety and Nutritional Outcomes",TERMINATED,COVID-19 pandemic and resource constraints,PHASE1,INTERVENTIONAL,5,"Severe Acute Malnutrition, Moderate Acute Malnutrition",Fecal Microbiota Transplantation,BIOLOGICAL,Serious Adverse Events,2019-04-11,2020-07-21,Microbiome Health Research Institute,OTHER
NCT05811897,RESILIENT : A Self-Managed Online Platform for Victims of Sexual Assault,Un Meilleur Sommeil Pour Une Meilleure résilience : Une Plateforme en Ligne autogérée Pour Les Victimes d'Agression Sexuelle,ACTIVE_NOT_RECRUITING,,NA,INTERVENTIONAL,204,"Post Traumatic Stress Disorder, Insomnia Disorder, Major Depressive Disorder",,"BEHAVIORAL, BEHAVIORAL","Post-traumatic Stress Disorder Symptoms, Post-traumatic Stress Disorder Symptoms, Post-traumatic Stress Disorder Symptoms, Depression Symptoms, Depression Symptoms, Depression Symptoms, Insomnia Symptoms, Insomnia Symptoms, Insomnia Symptoms",2022-08-01,2026-08-31,Laval University,OTHER
NCT02407197,International T1 Multicentre CMR Outcome Study,International T1 Multicentre CMR Study,COMPLETED,,,OBSERVATIONAL,1629,"Cardiomyopathy, Heart Failure, Coronary Artery Disease, Chronic Kidney Diseases, Inflammation, Fibrosis",,,Survival,2011-01,2022-12-01,King's College London,OTHER
NCT00390897,"Glivec® (Imatinib Mesylate, STI571) in Monotherapy Versus Glivec®-Interferon Alpha in the Treatment of Chronic-Phase Chronic Myeloid Leukaemia","Randomised Multicentre Phase IV Study to Compare Glivec® (Imatinib Mesylate, STI571) in Monotherapy Versus Glivec® in Combination With Interferon Alpha at Low Doses in the Treatment of Newly-Diagnosed Chronic-Phase Chronic Myeloid Leukaemia",COMPLETED,,PHASE4,INTERVENTIONAL,360,Chronic Myeloid Leukaemia,"Glivec, Interferon","DRUG, DRUG","The fundamental objective of this study is to compare the therapeutic efficacy of Glivec® given in monotherapy (providing for dose scaling according to the response obtained at different periods of time from the beginning) in combination with standard in, The median survival of patients with CML is close to 7 years., One year and a half after diagnosis, the rate of progression to the acceleration phase and blastic crisis is very low (3.3%) in patients treated with Glivec® as first line., With the treatments available hitherto, the achievement of a major cytogenetic response and above all cytogenetic response translates into a prolongation of survival., Therefore, taking into account that the rate of complete cytogenetic responses to Glivec® in newly-diagnosed CML is 76% after 18 months of treatment (see table I), the fundamental objective of the study will be to compare the rate of complete cytogenetic",2003-07,2007-12,PETHEMA Foundation,OTHER
NCT04115397,Bisphosphonates for the Treatment of Seropositive Musculoskeletal Complaints,Towards Efficient Prediction and Prevention of Rheumatoid Arthritis,UNKNOWN,,PHASE4,INTERVENTIONAL,80,Seropositive Muskuloskeletal Complaints,"Zoledronic Acid, Placebo","DRUG, DRUG",VAS pain,2020-01,2022-12,Karolinska Institutet,OTHER
NCT01218997,ALK21-006: Long-Term Study of Medisorb® Naltrexone (VIVITROL®),"A Randomized, Open Label, Long-Term, Multi-Center Study of the Safety of Medisorb® Naltrexone",COMPLETED,,PHASE3,INTERVENTIONAL,436,Alcoholism,"Medisorb naltrexone 380 mg, Oral naltrexone 50 mg","DRUG, DRUG",Number of Subjects Reporting at Least 1 Treatment-emergent Adverse Event (TEAE) While on Study,2003-08,2005-03,"Alkermes, Inc.",INDUSTRY
NCT06305897,"Evaluation of the Tolerance (Main Objective) and Performance of Cyto-selective Difluoroethane-based Cryotherapy in the Treatment of Brown Spots (Solar and Senile Lentigines, Post-inflammatory Hyperpigmentation) on the Face","Evaluation of the Tolerance (Main Objective) and Performance of Cyto-selective Difluoroethane-based Cryotherapy in the Treatment of Brown Spots (Solar and Senile Lentigines, Post-inflammatory Hyperpigmentation) on the Face",NOT_YET_RECRUITING,,NA,INTERVENTIONAL,45,"Lentigo, Solar Lentigo, Post Inflammatory Hyperpigmentation",,"DEVICE, DEVICE, DEVICE",Tolerance,2024-04,2024-12,Cryonove Pharma,INDUSTRY
NCT05918497,Comparison Between Variable Time Regimen of Dosing L-Thyroxine for Treatment Hypothyroid Fasting Ramadan,Comparison Between Variable Time Regimen of Dosing L-Thyroxine for Treatment Hypothyroid Fasting Ramadan,COMPLETED,,,OBSERVATIONAL,89,Different Regimens in Treatment of Hypothyroidism During Fasting in Ramadan,,,Comparison Between Variable Time Regimen of Dosing L-Thyroxine for Treatment Hypothyroid Fasting Ramadan,2023-04-25,2024-06-30,Sohag University,OTHER
NCT00492297,"A Phase II, Multi-Center, Open-Label, Uncontrolled Study to Evaluate the Efficacy and Safety of Sorafenib Given Daily in Combination With Repeated 21-Day Cycles of Dacarbazine (DTIC) Chemotherapy in Subjects With Advanced Metastatic Melanoma","A Phase II, Multi-center, Open-label, Uncontrolled Study to Evaluate the Efficacy and Safety of BAY 43-9006 Given Daily in Combination With Repeated 21-Day Cycles of Dacarbazine (DTIC) Chemotherapy in Subjects With Advanced Metastatic Melanoma.",COMPLETED,,PHASE2,INTERVENTIONAL,83,Melanoma,"Sorafenib (Nexavar, BAY43-9006) + Dacarbazine (DTIC)",DRUG,Overall Best Response,2005-04,2008-07,Bayer,INDUSTRY
NCT05859997,Universal CAR-T Cells (BRL-301) in Relapse or Refractory Autoimmune Diseases,A Clinical Study on the Safety and Efficacy of Universal CAR-T Cells (BRL-301) in the Treatment of Relapse or Refractory Autoimmune Diseases,ENROLLING_BY_INVITATION,,NA,INTERVENTIONAL,15,"Systemic Lupus Erythematosus (SLE), Sjogren's Syndrome, Systemic Sclerosis, Inflammatory Myopathy, ANCA Associated Systemic Vasculitis, Antiphospholipid Syndrome",BRL-301,BIOLOGICAL,Safety and efficacy outcomes,2023-05-17,2025-05-27,Bioray Laboratories,INDUSTRY
NCT03698097,Patient Surveys - What Patients Want,Patient Surveys - What Patients Want,COMPLETED,,,OBSERVATIONAL,745,Patient Survey,,OTHER,patients' preferences considering preferred survey technique,2016-08-01,2016-10-31,"University Hospital, Basel, Switzerland",OTHER
NCT06165497,Short Practices Well-being Study,Short Practices Well-being Study,COMPLETED,,NA,INTERVENTIONAL,5049,"Well-Being, Psychological",,"BEHAVIORAL, OTHER","Positive and Negative Affect Schedule Positive Affect, Positive and Negative Affect Schedule Negative Affect",2023-11-30,2023-12-15,"University of Wisconsin, Madison",OTHER
NCT05966597,Written Behavioural Persuasion Technique Intervention for Hypertension Management,"Effectiveness of Written Behavioural Persuasion Technique Intervention for Hypertension Management Among The Untreated Hypertension Population of The Community Observatory in Segamat, Johor: a 2-arm Randomised Controlled Trial Within Cohort",COMPLETED,,NA,INTERVENTIONAL,893,"Hypertension, Behavior and Behavior Mechanisms",,"BEHAVIORAL, BEHAVIORAL","Number of participants who see a doctor because of high blood pressure, Participants' intention to go see the doctor about their blood pressure (6-point Likert scale), Participants' awareness of receiving the written communication during the health visit and their perceptions of the leaflets (6-point Likert scale), 12-item Health Literacy score",2023-09-14,2024-07-31,Monash University Malaysia,OTHER
NCT04696510,"Physiopathology, Diagnosis and Therapy of Primary Cephalalgia and Adaptive Disorders",Biomarker Identification to Predict the Evolution of Migraine From an Episodic to a Chronic Condition,COMPLETED,,,OBSERVATIONAL,15,Migraine,,,Functional Connectivity (FC) changes,2018-08-31,2020-12-15,"IRCCS National Neurological Institute ""C. Mondino"" Foundation",OTHER
NCT01076010,An Extension Treatment Protocol for Subjects Who Have Participated in a Study of Tivozanib Versus Sorafenib in Kidney Carcinoma (Protocol AV-951-09-301).,An Extension Treatment Protocol for Subjects Who Have Participated in a Phase 3 Study of Tivozanib vs. Sorafenib in Renal Cell Carcinoma (Protocol AV-951-09-301).,COMPLETED,,PHASE3,INTERVENTIONAL,277,Advanced Renal Cell Carcinoma,"Tivozanib, Sorafenib","DRUG, DRUG","Number of Days Subjects Received Treatment in Each Treatment Arm, Number of Cycles Subjects Received Treatment in Each Treatment Arm, Total Dose Administered to Subjects in Each Treatment Arm (mg), Average Daily Dose Administered to Subjects in Each Treatment Arm, Relative Dose Intensity (RDI) of Treatment Administered to Subjects in Each Treatment Arm, Number of Subjects With Adverse Events",2010-03,2014-07,"AVEO Pharmaceuticals, Inc.",INDUSTRY
NCT03296410,The Phase IVd of Inactivated Enterovirus 71 Vaccine,The Safety and Immunogenicity of Enterovirus Type 71 Inactivated Vaccine (Human Diploid Cell) With Two Measles Attenuated Live Vaccine and Live Attenuated Japanese Encephalitis Vaccine at the Same Time Point in Infants (8-month-old),UNKNOWN,,PHASE4,INTERVENTIONAL,1220,"Hand, Foot and Mouth Disease (HFMD)","EV71 and two measles attenuated live vaccine, EV71 and attenuated Japanese encephalitis vaccine, two measles attenuated live vaccine, live attenuated Japanese encephalitis vaccine, EV71 vaccine","BIOLOGICAL, BIOLOGICAL, BIOLOGICAL, BIOLOGICAL, BIOLOGICAL","Evaluate the seropositive rate of anti-EV71 antibodies in serum of children before first vaccination, Evaluate the seropositive rate of anti-EBV antibodies in serum of children before first vaccination, Evaluate the seropositive rate of anti-measles virus antibodies in serum of children before first vaccination, Evaluate the seropositive rate of anti-Rubella virus antibodies in serum of children before first vaccination, Evaluate the seroconversion rate of anti-EV71 antibodies in serum of children at 56 days after first vaccination, Evaluate the seroconversion rate of anti-EBV antibodies in serum of children at 56 days after first vaccination, Evaluate the seroconversion rate of anti-measles virus antibodies in serum of children at 56 days after first vaccination, Evaluate the seroconversion rate of anti-Rubella virus antibodies in serum of children at 56 days after first vaccination",2017-09-14,2019-09-02,Chinese Academy of Medical Sciences,OTHER
NCT01074710,Safety and Pharmacokinetic Study of C13-URA in Healthy Volunteers,"A Phase I, Double-Blind, Placebo-Controlled, Randomized, 3-Period, Safety and Pharmacokinetic Study of 13C-uracil in a Semi-solid Meal at Single Oral Doses of 50, 100, and 200 mg in Healthy Volunteers",COMPLETED,,PHASE1,INTERVENTIONAL,8,Gastroparesis,"[2-13C] uracil, [2-13C] uracil, placebo","DRUG, DRUG",PK parameters,2010-02,2010-05,"Otsuka Pharmaceutical Co., Ltd.",INDUSTRY
NCT03369210,Liberal Transfusion Strategy in Elderly Patients,"Liberal Transfusion Strategy to Prevent Mortality and Anaemia-associated, Ischaemic Events in Elderly Non-cardiac Surgical Patients",ACTIVE_NOT_RECRUITING,,PHASE3,INTERVENTIONAL,2470,"Transfusion-dependent Anemia, Surgery, Anemia",red blood cell transfusion trigger,DRUG,Occurrence of a composite endpoint,2017-12-04,2026-07-31,Johann Wolfgang Goethe University Hospital,OTHER
NCT04160910,5HTP Regulation Of Asthma In Children,5HTP Regulation Of Asthma In Children,RECRUITING,,PHASE2,INTERVENTIONAL,20,Mild or Moderate Asthma With Allergic Sensitization,"5-Hydroxytryptophan, Placebo","DRUG, DRUG",Pulmonary Function Testing will be performed to assess for a change in Forced Expiratory Volume at one second (FEV1),2021-02-11,2026-01-05,Indiana University,OTHER
NCT00095810,Aripiprazole in Patients With Psychosis Associated With Parkinson's Disease,An Open-Label Study of Aripiprazole to Evaluate the Safety and Tolerability in Patients With Psychosis Associated With Parkinson's Disease,COMPLETED,,PHASE4,INTERVENTIONAL,50,"Parkinson's Disease, Psychoses",aripiprazole,DRUG,Tolerability,2003-07,2004-09,"Otsuka Pharmaceutical Development & Commercialization, Inc.",INDUSTRY
NCT03666910,Hearing Problems in Children of Rheumatic Diseased Mothers,Assessment of Hearing in Children Born to Rheumatic Diseased Women Treated With Antimalarial Drugs During Pregnancy,UNKNOWN,,,OBSERVATIONAL,90,Hearing Disorders,,DIAGNOSTIC_TEST,Dual channel audiometer,2018-10,2019-12,Assiut University,OTHER
