drug_name,source,status,cid,molecular_formula,molecular_weight,canonical_smiles,isomeric_smiles,inchi,inchi_key,adverse_reactions,failure_reason
Aveeno Anti-Itch Concentrated,openfda_labels,approved,,,,,,,,,
Aveeno Baby Calming Comfort,openfda_labels,approved,,,,,,,,,
Aveeno Baby Eczema Therapy Nighttime Balm,openfda_labels,approved,,,,,,,,,
Avelumab,clinicaltrials,TERMINATED,,,,,,,,,Available clinical data has shown limited anti-tumor activity and reaching target study drug dose levels may not be feasible.; The sponsor of this study has terminated the study due to poor enrollment.; Terminated due to PI leaving institution
"Avobenzone, Homosalate, Octisalate",openfda_labels,approved,,,,,,,,,
Axe,openfda_labels,approved,,,,,,,,,
Axitinib Oral Tablet [Inlyta],clinicaltrials,RECRUITING,,,,,,,,,
Azacitidine,"clinicaltrials, openfda_labels",approved,,,,,,,,,Slow enrollment and change in sponsor direction; Strategic decisions; Slow Accrual.
Azathioprine,openfda_labels,approved,,,,,,,,,Study was terminated due to an imbalance of serious and opportunistic infections in the ocrelizumab treated patients versus the placebo arm.; Not enough recruitment Lack of funding CR
Azelastine Hydrochloride,openfda_labels,approved,,,,,,,,,
Azelastine Hydrochloride/ Fluticasone propionate nasal spray,clinicaltrials,COMPLETED,,,,,,,,,
Azithromycin,openfda_labels,approved,,,,,,,,,research staffs unable to continue.; The PI decided.; Due to covid
Azopt,"clinicaltrials, openfda_labels",approved,,,,,,,,,Project Cancelled
B HP,openfda_labels,approved,,,,,,,,,
B-Pure Citrus Scented Hand Sanitizer,openfda_labels,approved,,,,,,,,,
B-Pure Hand Sanitizer Coconut Vanilla Scented,openfda_labels,approved,,,,,,,,,
B-Pure Hydrating Hand Sanitizer Cucumber Mint Scented,openfda_labels,approved,,,,,,,,,
B-Pure Hydrating Hand Sanitizer Watermelon Scented,openfda_labels,approved,,,,,,,,,
B-Pure Moisturizing Hand Sanitizer Honey Crisp Apple Scented,openfda_labels,approved,,,,,,,,,
BACILLUS CEREUS,openfda_labels,approved,,,,,,,,,
BACILLUS SUBTILIS,openfda_labels,approved,,,,,,,,,
BACITRACIN,openfda_labels,approved,,,,,,,,"Abdominal distension, Constipation",
"BACITRACIN ZINC, NEOMYCIN SULFATE , POLYMYXIN B SULFATE.",openfda_labels,approved,,,,,,,,,
"BACITRACIN ZINC, NEOMYCIN SULFATE, AND POLYMYXIN B SULFATE",openfda_labels,approved,,,,,,,,,
"BACITRACIN ZINC, NEOMYCIN SULFATE, POLYMYXIN B SULFATE",openfda_labels,approved,,,,,,,,,
"BACITRACIN ZINC, NEOMYCIN SULFATE, POLYMYXIN B SULFATE, PRAMOXINE HYDROCHLORIDE",openfda_labels,approved,,,,,,,,,
"BACITRACIN ZINC, NEOMYCIN SULFATE, POYMYXIN B SULFATE, AND PRAMOXINE HYDROCHRLORIDE",openfda_labels,approved,,,,,,,,,
"BACITRACIN ZINC, NEOMYCIN, POLYMYXIN B",openfda_labels,approved,,,,,,,,,
"BACITRACIN, NEOMYCIN, POLYMYXIN B, PRAMOXINE HCL",openfda_labels,approved,,,,,,,,,
"BACITRACINZINC,NEOMYCINSULFATE,POLYMXINBSULFATE,PRAMOXINEHCI",openfda_labels,approved,,,,,,,,,
BACLOFEN,openfda_labels,approved,,,,,,,,"Transfusion, Vision blurred, Intraocular pressure increased; Vomiting, Diplopia, Gait disturbance, Balance disorder, Dyspnoea, Gastroenteritis, Dizziness; Wound, Urinary tract infection; Cough, Sputum abnormal, Ageusia, Neuropathy peripheral, Atrophic glossitis, Alopecia, Muscle spasms; Dehydration, Nausea, Retching",
BACLOFEN INJECTION,openfda_labels,approved,,,,,,,,,
BAKERS BEST Arthritis Pain Relief Cream with Hemp and Lavender,openfda_labels,approved,,,,,,,,,
BALSALAZIDE DISODIUM,openfda_labels,approved,,,,,,,,,
BAMBUSA PULSATILLA,openfda_labels,approved,,,,,,,,,
BANANA BOAT,openfda_labels,approved,,,,,,,,,
BAPTISIA TINCTORIA ROOT,openfda_labels,approved,,,,,,,,,
"BAPTISIA TINCTORIA, ECHINACEA (ANGUSTIFOLIA), ADRENALINUM, ALLIUM CEPA, AMBROSIA ARTEMISIAEFOLIA, ARSENICUM ALBUM, EUPHRASIA OFFICINALIS, HISTAMINUM HYDROCHLORICUM, NATRUM MURIATICUM, NATRUM SULPHURICUM, NUX VOMICA, PHOSPHORUS, PULSATILLA (PRATENSIS), SABADILLA, SINAPIS NIGRA, SOLIDAGO VIRGAUREA, SULPHUR, WYETHIA HELENIOIDES",openfda_labels,approved,,,,,,,,,
"BAPTISIA TINCTORIA, ECHINACEA (ANGUSTIFOLIA), PHYTOLACCA DECANDRA, ACONITUM NAPELLUS, ARSENICUM ALBUM, BELLADONNA, FERRUM PHOSPHORICUM, LACHESIS MUTUS, MERCURIUS CORROSIVUS, PHOSPHORUS, COLIBACILLINUM CUM NATRUM MURIATICUM, PYROGENIUM",openfda_labels,approved,,,,,,,,,
BARACLUDE,openfda_labels,approved,,,,,,,,"Heart rate increased, Palpitations, Chest pain; Blood creatine phosphokinase increased, Blood potassium decreased, Musculoskeletal pain; Transplant failure; Hepatic cirrhosis; Epilepsy",
BARRIER BALM,openfda_labels,approved,,,,,,,,,
BASAGLAR Tempo Pen,openfda_labels,approved,,,,,,,,,
BAY43-9006) + Dacarbazine (DTIC),clinicaltrials,COMPLETED,,,,,,,,,
BAYER ASPIRIN EXTRA STRENGTH,openfda_labels,approved,,,,,,,,,
BAYER Aspirin Extra Strength Caplets,openfda_labels,approved,,,,,,,,,
"BCBGENERATION HAND SANITIZER MIST SET-MANGO, BERRY, STRAWBERRY AND VANILLA SCENT",openfda_labels,approved,,,,,,,,,
BCD-063,clinicaltrials,COMPLETED,,,,,,,,,
BCNU,clinicaltrials,COMPLETED,,,,,,,,,
BEAM,clinicaltrials,UNKNOWN,,,,,,,,,
"BELLADONNA LEAF,CALCIUM CARBONATE,CHAMOMILE,LYCOPODIUM CLAVATUM SPORE,ANEMONE PATENS WHOLE,SULFUR",openfda_labels,approved,,,,,,,,,
"BELLIS PERENNIS, HYPERICUM PERFOMATUM,TOXICODENDRON PUBSCENS LEAF, RUTA GRAVEOLENS FLOWERING TOP",openfda_labels,approved,,,,,,,,,
BENAZEPRIL HYDROCHLORIDE,openfda_labels,approved,,,,,,,,"Gastrointestinal haemorrhage, Drug interaction, Small intestinal haemorrhage, Gastric haemorrhage; Lethargy, Somnolence, Dizziness, Hypotension, Accidental exposure to product; Fatigue, Vertigo, Dizziness, Lethargy, Somnolence, Hypotension, Accidental overdose",
BENDAMUSTINE HYDROCHLORIDE,openfda_labels,approved,,,,,,,,"Circulatory collapse; Abdominal pain, Pulmonary embolism",
BENGAY ULTRA STRENGTH NON-GREASY,openfda_labels,approved,,,,,,,,,
BENZALKONIUM CHLORIDE,openfda_labels,approved,,,,,,,,,
BENZALKONIUM CHLORIDE 0.13%,openfda_labels,approved,,,,,,,,,
BENZALKONIUM CHLORIDE WIPE,openfda_labels,approved,,,,,,,,,
"BENZALKONIUM CHLORIDE, BENZOCAINE",openfda_labels,approved,,,,,,,,,
"BENZALKONIUM CHLORIDE, LIDOCAINE",openfda_labels,approved,,,,,,,,,
"BENZALKONIUM CHLORIDE, LIDOCAINE HCI",openfda_labels,approved,,,,,,,,,
BENZEDREX,openfda_labels,approved,,,,,,,,,
BENZETHONIUM CHLORIDE,openfda_labels,approved,,,,,,,,,
BENZETHONIUM CHLORIDE AND BENZOCAINE,openfda_labels,approved,,,,,,,,,
BENZETHONIUM CHLORIDE PLUS DYCLONINE HYDROCHLORIDE,openfda_labels,approved,,,,,,,,,
BENZHYDROCODONE AND ACETAMINOPHEN,openfda_labels,approved,,,,,,,,,
BENZOCAINE,openfda_labels,approved,,,,,,,,,
BENZOCAINE AND MENTHOL,openfda_labels,approved,,,,,,,,,
"BENZOCAINE AND MENTHOL, UNSPECIFIED FORM",openfda_labels,approved,,,,,,,,,
BENZOCAINE AND ZINC CHLORIDE,openfda_labels,approved,,,,,,,,,
BENZOCAINE BENZALKONIUM CHLORIDE,openfda_labels,approved,,,,,,,,,
"BENZOCAINE, GLYCERIN",openfda_labels,approved,,,,,,,,,
"BENZOCAINE, RESORCINOL",openfda_labels,approved,,,,,,,,,
BENZOYL PEROXIDE,openfda_labels,approved,,,,,,,,,
BENZTROPINE MESYLATE,openfda_labels,approved,,,,,,,,,
"BENZYL ALCOHOL, LIDOCAINE HCI",openfda_labels,approved,,,,,,,,,
BENZYL ALCOHOL/PRAMOXINE HYDROCHLORIDE,openfda_labels,approved,,,,,,,,,
BETAMETHASONE DIPROPIONATE,openfda_labels,approved,,,,,,,,"Cognitive disorder, Motor dysfunction, Speech disorder, Mental disability, Hypertonia, Neuromyopathy, Hypokinesia",
BETAMETHASONE SODIUM PHOSPHATE AND BETAMETHASONE ACETATE,openfda_labels,approved,,,,,,,,,
BETAMETHASONE VALERATE,openfda_labels,approved,,,,,,,,"Cardiac arrest, Paraesthesia oral, Muscle spasms, Depressed mood, Anxiety; Cerebrovascular accident, Drug ineffective; Cardiac arrest, Muscle spasms, Anxiety, Depressed mood, Paraesthesia oral",
BETIATIDE,openfda_labels,approved,,,,,,,,,
BETULA RADIX 6X,openfda_labels,approved,,,,,,,,,
BEVACIZUMAB-AWWB,openfda_labels,approved,,,,,,,,,
BHI Constipation,openfda_labels,approved,,,,,,,,,
BHI Throat,openfda_labels,approved,,,,,,,,,
BI 207127-placebo: 8-week treatment,clinicaltrials,COMPLETED,,,,,,,,,
BI 207127: 16-week treatment,clinicaltrials,COMPLETED,,,,,,,,,
BI 207127: 24-week treatment,clinicaltrials,COMPLETED,,,,,,,,,
BI-MART Ultra Strength Antacid Peppermint,openfda_labels,approved,,,,,,,,,
BICILLIN L-A,openfda_labels,approved,,,,,,,,,
"BICTEGRAVIR SODIUM, EMTRICITABINE, AND TENOFOVIR ALAFENAMIDE FUMARATE",openfda_labels,approved,,,,,,,,,
BID,clinicaltrials,ACTIVE_NOT_RECRUITING,,,,,,,,,
BIMATOPROST,openfda_labels,approved,,,,,,,,Drug ineffective,
BIO SPECTRA ATTITUDE,openfda_labels,approved,,,,,,,,,
BISACODYL,openfda_labels,approved,,,,,,,,"Leukoencephalopathy, Peroneal nerve palsy, Mobility decreased, Sensory loss, Grand mal convulsion, Muscular weakness; Dehydration, Nausea, Vomiting, Faeces soft; Dermatitis acneiform; Plasma cell myeloma, Renal failure acute; Cytomegalovirus infection, Cytomegalovirus chorioretinitis",
BISACODYL SUPPOSITORY,openfda_labels,approved,,,,,,,,,
BISMUTH SUBSALICYLATE,openfda_labels,approved,,,,,,,,,
BISMUTH SUBSALICYLATE 262 MG,openfda_labels,approved,,,,,,,,,
BISMUTH SUBSALICYLATE SUSPENSION,openfda_labels,approved,,,,,,,,,
BISOPROLOL FUMARATE,openfda_labels,approved,,,,,,,,"Cough, Muscle spasms, Muscle twitching, Diarrhoea, Dizziness, Feeling abnormal, Arthralgia, Myalgia, Asthenia, Nausea, Fatigue, Depression, Drug prescribing error; Oedema peripheral, Rash maculo-papular, Erysipelas, Varicose vein, Urticaria; Nausea, Depression, Cough, Arthralgia, Fatigue, Asthenia, Diarrhoea, Muscle spasms, Dizziness, Feeling abnormal, Drug prescribing error, Myalgia, Muscle twitching; Deep vein thrombosis, Drug ineffective; Ovarian germ cell teratoma, Asthma, Pain in extremity, Sleep disorder, Palpitations, Dry mouth, Haemorrhagic ovarian cyst, Hyperhidrosis, Blood pressure increased, Medication error",
BKEMV,openfda_labels,approved,,,,,,,,,
BLACK FROZEN PEAR AND CEDARWOOD SCENT 48H FRESH AND DRY ANTIPERSPIRANT,openfda_labels,approved,,,,,,,,,
BLOOD CLOTTING SPRAY,openfda_labels,approved,,,,,,,,,
BMX-001,clinicaltrials,NOT_YET_RECRUITING,,,,,,,,,
BOBBI BROWN PRIMER PLUS PROTECTION BROAD SPECTRUM SPF50,openfda_labels,approved,,,,,,,,,
BODY SPRAY,openfda_labels,approved,,,,,,,,,
BODY WASH,openfda_labels,approved,,,,,,,,,
"BOLDO LEAF, RICINUS COMMUNIS SEED, COMBRETUM RAIMBAULTII LEAF, JATEORHIZA PALMATA ROOT, ARGENTUM METALLICUM",openfda_labels,approved,,,,,,,,,
BONINE,openfda_labels,approved,,,,,,,,,
BORTEZOMIB,openfda_labels,approved,,,,,,,,"Hepatorenal syndrome, Febrile neutropenia, Neutropenia, Lung adenocarcinoma, Toxicity to various agents, Plasma cell myeloma, Pneumonia, Sepsis, Gastrointestinal disorder, Hepatotoxicity, Deep vein thrombosis, Diarrhoea, Death, Amaurosis fugax, Atrial fibrillation, Syncope, Constipation, Infection; Myelodysplastic syndrome; Neuropathy peripheral, Hypertension, Drug ineffective; Disease progression, Pulmonary alveolar haemorrhage, Cerebrovascular accident; Drug ineffective, Graft versus host disease",
BOSENTAN,openfda_labels,approved,,,,,,,,"Respiratory distress, Pulmonary oedema, Dyspnoea, Pulmonary alveolar haemorrhage, Pulmonary veno-occlusive disease, Therapeutic response decreased, Drug ineffective; Oedema peripheral, Chest pain, Dyspnoea, C-reactive protein increased, Erythema, Pleural effusion, Systemic lupus erythematosus, Lupus nephritis, Nephrotic syndrome, Biopsy kidney, Pneumonia, Hypoproteinaemia, Pyrexia",
BOTANICAL SOOTHING SPF-30,openfda_labels,approved,,,,,,,,,
BP Body Wash,openfda_labels,approved,,,,,,,,,
BRAIN DROPS,openfda_labels,approved,,,,,,,,,
BRIMONIDINE TARTRATE,openfda_labels,approved,,,,,,,,"Joint injury, Fall; Joint injury; Drug ineffective, Off label use; Myocardial infarction, Hepatic neoplasm, Abdominal pain upper, Headache",
BRIMONIDINE TARTRATE AND TIMOLOL MALEATE,openfda_labels,approved,,,,,,,,,
BRINCIDOFOVIR,openfda_labels,approved,,,,,,,,,
BRINZOLAMIDE,openfda_labels,approved,,,,,,,,"Anaphylactic reaction, Drug administration error",
BRL-301,clinicaltrials,ENROLLING_BY_INVITATION,,,,,,,,,
BROAD SPECTRUM SPF50 SPF 50,openfda_labels,approved,,,,,,,,,
BROMFENAC,openfda_labels,approved,,,,,,,,,
BROMPHENIRAMINE MALEATE,openfda_labels,approved,,,,,,,,,
"BROMPHENIRAMINE MALEATE, DEXTROMETHORPHAN HBR",openfda_labels,approved,,,,,,,,,
"BROMPHENIRAMINE MALEATE, DEXTROMETHORPHAN HYDROBROMIDE",openfda_labels,approved,,,,,,,,,
"BROMPHENIRAMINE MALEATE, PHENYLEPHRINE HCL",openfda_labels,approved,,,,,,,,,
"BROMPHENIRAMINE MALEATE, PSEUDOEPHEDRINE HYDROCHLORIDE AND DEXTROMETHORPHAN HYDROBROMIDE",openfda_labels,approved,,,,,,,,,
"BROMPHENIRAMINE MALEATE, PSEUDOEPHEDRINE HYDROCHLORIDE, AND DEXTROMETHORPHAN HYDROBROMIDE",openfda_labels,approved,,,,,,,,,
"BROMPHENIRAMINE MALEATE,DEXTROMETHORPHAN HBR,PHENYLEPHRINE HCL,DIPHENHYDRAMINE HCL, PHENYLEPHRINE HCL",openfda_labels,approved,,,,,,,,,
"BROMPHENIRAMINE, PSEUDOEPHEDRINE, DEXTROMETHORPHAN",openfda_labels,approved,,,,,,,,,
"BRYONIA (ALBA), RUTA GRAVEOLENS, BELLIS PERENNIS, CAPSICUM ANNUUM, LEDUM PALUSTRE, SYMPHYTUM OFFICINALE, COLCHICUM AUTUMNALE, RHODODENDRON CHRYSANTHUM, ARGENTUM METALLICUM",openfda_labels,approved,,,,,,,,,
BRYONIA ALBA ROOT - GELSEMIUM SEMPERVIRENS ROOT - TOXICODENDRON PUBESCENS LEAF - ARSENIC TRIOXIDE STRYCHNOS - NUX-VOMICA SEED,openfda_labels,approved,,,,,,,,,
BT-11 high,clinicaltrials,WITHDRAWN,,,,,,,,,The closure of the study is driven by the decision to redesign the study protocol for future studies.
BT-11 low,clinicaltrials,WITHDRAWN,,,,,,,,,The closure of the study is driven by the decision to redesign the study protocol for future studies.
BUDESONIDE,openfda_labels,approved,,,,,,,,"Chronic obstructive pulmonary disease, Emphysema, Bronchitis, Dyspnoea, Stress, Anxiety; Bone marrow failure, Pyrexia, Neutropenia, Leukopenia, Thrombocytopenia, Pancytopenia, Tonsillitis, Cough, Tonsillar hypertrophy, Purulent discharge, Pharyngeal erythema, Odynophagia, Lymphadenopathy, Productive cough; Phlebitis, Pyrexia; Swelling face, Joint swelling; Macroglossia, Wheezing, Oxygen saturation decreased",
BUDESONIDE (ENTERIC COATED),openfda_labels,approved,,,,,,,,,
BUMETANIDE,openfda_labels,approved,,,,,,,,"Type 2 diabetes mellitus; Diarrhoea haemorrhagic, Drug interaction, Melaena, Haematochezia, Rectal haemorrhage; Pyrexia, Unresponsive to stimuli, Hypotonia, Atrial fibrillation, Sick sinus syndrome, Ischaemic stroke; Hospitalisation, Fatigue, Flatulence, Abdominal distension, Weight increased; Haemoglobin decreased, Fatigue, Drug ineffective",
BUPIVACAINE,openfda_labels,approved,,,,,,,,"Blister, Quality of life decreased, Rib fracture, Performance status decreased, Gait disturbance, Malnutrition, Pain, Fall; Peripartum cardiomyopathy, Pulmonary oedema, Respiratory disorder, Ventricular hypokinesia, Diastolic dysfunction, Ventricular fibrillation, Pericardial effusion, Gestational hypertension, Maternal exposure during pregnancy, Blood uric acid increased, Caesarean section, Urine flow decreased, Left atrial dilatation, Cardiac failure, Aspartate aminotransferase increased, Blood lactate dehydrogenase increased, Blood urea decreased, Blood potassium increased, Prothrombin time shortened, Activated partial thromboplastin time prolonged, Ejection fraction decreased, Ejection fraction decreased; Pulmonary embolism, Respiratory failure; Gait disturbance, Device power source issue, Poor dental condition, Pain, Blister, Device malfunction, Posture abnormal, Performance status decreased, Rib fracture, Quality of life decreased, Malnutrition, Decreased activity, Fall; Pyrexia, Influenza like illness, Convulsion, Cerebrovascular accident, Device dislocation, Implant site mass, Headache, Tremor, Feeling of body temperature change, Chills, Bedridden, Wheelchair user, Urinary tract infection, Ear infection",
BUPIVACAINE HYDROCHLORIDE,openfda_labels,approved,,,,,,,,,
"BUPIVACAINE HYDROCHLORIDE INJECTION, SOLUTION",openfda_labels,approved,,,,,,,,,
"BUPIVACAINE HYDROCHLORIDE injection, solution",openfda_labels,approved,,,,,,,,,
BUPRENORPHINE,openfda_labels,approved,,,,,,,,"Pneumonia, Anxiety, Somnolence; Neuroleptic malignant syndrome; Drug dependence, Overdose, Wrong technique in drug usage process, Abdominal pain upper, Constipation; Herpes zoster, Herpes simplex, Erythema multiforme, Rash, Pruritus; Herpes zoster, Erythema multiforme, Rash, Herpes simplex, Pruritus",
BUPRENORPHINE AND NALOXONE,openfda_labels,approved,,,,,,,,,
BUPROPION HYDROCHLORIDE,openfda_labels,approved,,,,,,,,"Wound infection; Paraesthesia, Malaise; Hallucination, Depression, Anxiety, Paranoia, Apathy, Drug ineffective",
"BURN EASE, 3.5G",openfda_labels,approved,,,,,,,,,
BUSPIRONE HYDROCHLORIDE,openfda_labels,approved,,,,,,,,"Suicidal ideation, Paraesthesia, Hypoaesthesia, Arthralgia, Myalgia, Hypergammaglobulinaemia, Vitamin D deficiency, Nephrolithiasis; Erectile dysfunction; Discomfort, Discomfort, Inappropriate schedule of drug administration, Palpitations, Palpitations, Erythema, Injection site pruritus, Injection site pain, Erythema, Pruritus generalised, Heart rate increased, Heart rate increased, Headache, Headache, Poor quality sleep, Fatigue",
BUSULFAN,openfda_labels,approved,,,,,,,,"Pneumonia, Cytomegalovirus infection, Cystitis haemorrhagic, Acute graft versus host disease; Pulmonary alveolar haemorrhage, Graft versus host disease, Cystitis haemorrhagic, Adenovirus infection, BK virus infection; Acute myeloid leukaemia recurrent, Graft versus host disease, Adenovirus infection, Cytomegalovirus infection; Drug ineffective, Graft versus host disease; Thrombotic microangiopathy, Off label use",
BUTALBITAL AND ACETAMINOPHEN,openfda_labels,approved,,,,,,,,,
"BUTALBITAL, ACETAMINOPHEN AND CAFFEINE",openfda_labels,approved,,,,,,,,,
BUTENAFINE HYDROCHLORIDE,openfda_labels,approved,,,,,,,,,
Babo Botanicals Sensitive Baby Healing,openfda_labels,approved,,,,,,,,,
Babo Botanicals Sensitive Baby Mineral Sunscreen SPF30,openfda_labels,approved,,,,,,,,,
Babo Botanicals Sensitive Baby Mineral Sunscreen SPF50,openfda_labels,approved,,,,,,,,,
Babo Botanicals Sheer Zinc Mineral Sunscreen SPF30,openfda_labels,approved,,,,,,,,,
Babo Botanicals Super Shield Mineral Sunscreen SPF50,openfda_labels,approved,,,,,,,,,
Baby Diaper Rash,openfda_labels,approved,,,,,,,,,
Baby Mantra Diaper Cream,openfda_labels,approved,,,,,,,,,
Baby Mineral Sunscreen Probiotics SPF55,openfda_labels,approved,,,,,,,,,
Baby Mineral Sunscreen SPF55,openfda_labels,approved,,,,,,,,,
Baby XtraCare Oatmeal,openfda_labels,approved,,,,,,,,,
Bach Clarity of Mind Focus Kit,openfda_labels,approved,,,,,,,,,
Bach Emotional Ups and Downs Mental Energy Kit,openfda_labels,approved,,,,,,,,,
Bach Fear No More Bravery Kit,openfda_labels,approved,,,,,,,,,
Bach Get it Done Motivation Kit,openfda_labels,approved,,,,,,,,,
Bach Hope and Joy Comfort Kit,openfda_labels,approved,,,,,,,,,
Bach Original Flower Remedies,openfda_labels,approved,,,,,,,,,
Bach Ready to Go Travel Kit,openfda_labels,approved,,,,,,,,,
Bacitracin,openfda_labels,approved,,,,,,,,,slow enrollment due to cost of medication and conflict of interest enrolling uninsured patients
Baclofen,openfda_labels,approved,,,,,,,,,
Bactine Max Lidocaine Roll-on 2.5oz,openfda_labels,approved,,,,,,,,,
Bali Body Cacao Tanning Oil SPF 15,openfda_labels,approved,,,,,,,,,
Bali Body Watermelon Tanning Oil SPF 15,openfda_labels,approved,,,,,,,,,
Bali Body Watermelon Tanning Oil SPF 6,openfda_labels,approved,,,,,,,,,
Balmere Mineral Sunscreen Moisturizer Primer,openfda_labels,approved,,,,,,,,,
Balsalazide Disodium,openfda_labels,approved,,,,,,,,,
Bamboobies Diaper Rash,openfda_labels,approved,,,,,,,,,
Bambusa Pulsatilla,openfda_labels,approved,,,,,,,,,
Ban Invisible Solid Antiperspirant Deodorant Powder Fresh,openfda_labels,approved,,,,,,,,,
Banana Boat,openfda_labels,approved,,,,,,,,,
Banzel,openfda_labels,approved,,,,,,,,,
Baptisia tinctoria,openfda_labels,approved,,,,,,,,,
Bardoxolone methyl,clinicaltrials,COMPLETED,,,,,,,,,
Bare Perfecting Makeup Merle Norman,openfda_labels,approved,,,,,,,,,
Barrier Balm,openfda_labels,approved,,,,,,,,,
Basic Care Nicotine,openfda_labels,approved,,,,,,,,,
Bath Bomb 2-pack (Lemon),openfda_labels,approved,,,,,,,,,
Batroxobin combined with low molecular weight heparin,clinicaltrials,UNKNOWN,,,,,,,,,
Bayer Chewable - Aspirin Regimen Low Dose Aspirin Cherry Flavored,openfda_labels,approved,,,,,,,,,
Bayer Low Dose,openfda_labels,approved,,,,,,,,,
Bee Bald Smooth Plus Daily Moisturizer SPF 30 Sunscreen,openfda_labels,approved,,,,,,,,,
Belatacept,clinicaltrials,COMPLETED,,,,,,,,,
Belinostat,clinicaltrials,COMPLETED,,,,,,,,,
Belladonna and Opium,openfda_labels,approved,,,,,,,,,
Ben E.Keith Hand Cleaner,openfda_labels,approved,,,,,,,,,
Benazepril Hydrochloride,openfda_labels,approved,,,,,,,,,
BencoCaine Topical Anesthetic,openfda_labels,approved,,,,,,,,,
Bendamustine Hydrochloride,openfda_labels,approved,,,,,,,,,
Benralizumab 30 mg,clinicaltrials,TERMINATED,,,,,,,,,The study has a double-blind period and an open-label period. The study did not meet its primary endpoints after the primary LSLV and the decision was taken to terminate the study early.
Benzocaine 20%,clinicaltrials,RECRUITING,,,,,,,,,
Benzoyl Peroxide,openfda_labels,approved,,,,,,,,,
Benzoyl Peroxide Acne,openfda_labels,approved,,,,,,,,,
Benztropine Mesylate,openfda_labels,approved,,,,,,,,,
BerbereX Wound Cleanser,openfda_labels,approved,,,,,,,,,
Best Choice Extra Strength Tropical Fruit,openfda_labels,approved,,,,,,,,,
Best Choice Fiber Therapy Orange Flavor,openfda_labels,approved,,,,,,,,,
Beta Blocker,clinicaltrials,RECRUITING,,,,,,,,,
Betadine,openfda_labels,approved,,,,,,,,,
Betadine Solution Swabsticks,openfda_labels,approved,,,,,,,,,
Betaloan SUIK,openfda_labels,approved,,,,,,,,,
Betamethasone Dipropionate,openfda_labels,approved,,,,,,,,,
Betamethasone Valerate,openfda_labels,approved,,,,,,,,,
Betamethasone dipropionate,openfda_labels,approved,,,,,,,,,
Betula Radix 6X,openfda_labels,approved,,,,,,,,,
Bevacizumab,clinicaltrials,COMPLETED,,,,,,,,,"Treatment now available commercially; A pre-planned initial analysis concluded that the study was unlikely to achieve its primary objective of demonstrating superior progression-free survival. Based on the Steering Committee's recommendation, the Sponsor has closed the study.; Poor accrual"
Biktarvy,openfda_labels,approved,,,,,,,,,
Bimatoprost,openfda_labels,approved,,,,,,,,,
Bimatoprost SR,clinicaltrials,COMPLETED,,,,,,,,,
Bimekizumab,clinicaltrials,COMPLETED,,,,,,,,,
Binosto,openfda_labels,approved,,,,,,,,,
Bio Vervain,openfda_labels,approved,,,,,,,,,
Bio White Chestnut,openfda_labels,approved,,,,,,,,,
Bio-Z-Cough,openfda_labels,approved,,,,,,,,,
Biofreeze,openfda_labels,approved,,,,,,,,,Decided not go move forward with this population as recruitment was difficult
Biofreeze Overnight Relief,openfda_labels,approved,,,,,,,,,
Biofreeze Professional,openfda_labels,approved,,,,,,,,,
Bisacodyl,openfda_labels,approved,,,,,,,,,
Bismuth,openfda_labels,approved,,,,,,,,,
Bisoprolol fumarate,openfda_labels,approved,,,,,,,,,
Bite and Itch,openfda_labels,approved,,,,,,,,,
Bladder Kidney Meridian Opener,openfda_labels,approved,,,,,,,,,
Bliss GVS Children,openfda_labels,approved,,,,,,,,,
Blue Scorpion Pain and Inflammation Relief,openfda_labels,approved,,,,,,,,,
Body Acne Treatment,openfda_labels,approved,,,,,,,,,
Boostrix,clinicaltrials,COMPLETED,,,,,,,,,
Boostrix®,clinicaltrials,COMPLETED,,,,,,,,,
Bortezomib,openfda_labels,approved,,,,,,,,,Terminated due to slow accrual.
Bosentan,openfda_labels,approved,,,,,,,,,
Botulinum Toxin Type A,clinicaltrials,COMPLETED,,,,,,,,,
Boudreauxs Butt Barrier,openfda_labels,approved,,,,,,,,,
Brain Drops 9614,openfda_labels,approved,,,,,,,,,
Brigatinib,clinicaltrials,ACTIVE_NOT_RECRUITING,,,,,,,,,
Brimonidine Tartrate/Timolol Maleate,openfda_labels,approved,,,,,,,,,
Broad Spectrum SPF45,openfda_labels,approved,,,,,,,,,
Broad Spectrum Water Resistant SPF 50 Mineral Sunscreen Babies,openfda_labels,approved,,,,,,,,,
Bromfenac,openfda_labels,approved,,,,,,,,,
Bromocriptin 2.5mg,clinicaltrials,NOT_YET_RECRUITING,,,,,,,,,
"Brompheniramine Maleate, Pseudoephedrine Hydrochloride and Dextromethorphan Hydrobromide",openfda_labels,approved,,,,,,,,,
"Brompheniramine, Pseudoephedrine, Dextromethorphan",openfda_labels,approved,,,,,,,,,
Budesonide,openfda_labels,approved,,,,,,,,,Enrollment difficulties after the start of the COVID-19 pandemic.
Buildable Blur,openfda_labels,approved,,,,,,,,,
Bumetanide,openfda_labels,approved,,,,,,,,,
Bupivacaine,openfda_labels,approved,,,,,,,,,busy; The Sponsor has no interest in continuing the study.
Bupivacaine Hydrochloride,openfda_labels,approved,,,,,,,,,
Bupivilog Kit,openfda_labels,approved,,,,,,,,,
Buprenorphine,openfda_labels,approved,,,,,,,,,The trial end was achieved according to the definition in the trial protocol
Buprenorphine and Naloxone,openfda_labels,approved,,,,,,,,,
