product_ndc,generic_name,brand_name,labeler_name,active_ingredients,dosage_form,route,product_type,marketing_category,application_number
69423-550,Zinc Oxide,Native Mineral Sunscreen Broad Spectrum SPF 30 Unscented,The Procter & Gamble Manufacturing Company,ZINC OXIDE (20 g/100mL),LOTION,TOPICAL,HUMAN OTC DRUG,OTC MONOGRAPH DRUG,M020
0363-6683,Docusate sodium 50mg and Sennosides 8.6mg,Senna-S,Walgreens,DOCUSATE SODIUM (50 mg/1); SENNOSIDES (8.6 mg/1),"CAPSULE, LIQUID FILLED",ORAL,HUMAN OTC DRUG,OTC MONOGRAPH DRUG,M007
69452-465,CETIRIZINE HYDROCHLORIDE,CETIRIZINE HYDROCHLORIDE,Bionpharma Inc.,CETIRIZINE HYDROCHLORIDE (10 mg/1),"TABLET, FILM COATED",ORAL,HUMAN OTC DRUG,ANDA,ANDA078862
69584-111,Carisoprodol,Carisoprodol,"Oxford Pharmaceuticals, LLC",CARISOPRODOL (350 mg/1),TABLET,ORAL,HUMAN PRESCRIPTION DRUG,ANDA,ANDA040188
70518-4325,Extended Phenytoin Sodium,DILANTIN,REMEDYREPACK INC.,PHENYTOIN SODIUM (30 mg/1),"CAPSULE, EXTENDED RELEASE",ORAL,HUMAN PRESCRIPTION DRUG,ANDA,ANDA084349
70542-301,"PCMX, Hand Soap",Maxim Anti-Bacterial,Midlab Incorporated,CHLOROXYLENOL (1 g/L),SOAP,TOPICAL,HUMAN OTC DRUG,OTC MONOGRAPH DRUG,505G(a)(3)
70677-1101,Famotidine,foster and thrive acid reducer,Strategic Sourcing Services LLC,FAMOTIDINE (20 mg/1),"TABLET, FILM COATED",ORAL,HUMAN OTC DRUG,ANDA,ANDA077351
70700-149,Omeprazole,Omeprazole,"Xiromed, LLC",OMEPRAZOLE (10 mg/1),"CAPSULE, DELAYED RELEASE",ORAL,HUMAN PRESCRIPTION DRUG,ANDA,ANDA212977
70000-0330,Medicated Corn Removers,Salicylic Acid,"LEADER/ Cardinal Health 110, Inc.",SALICYLIC ACID (400 mg/g),PATCH,TOPICAL,HUMAN OTC DRUG,OTC MONOGRAPH DRUG,M030
70000-0706,Propylene glycol,Leader Lubricant Eye Drops Fast-Acting Hydration,"LEADER/Cardinal Health 110, Inc.",PROPYLENE GLYCOL (.6 g/100mL),SOLUTION/ DROPS,OPHTHALMIC,HUMAN OTC DRUG,OTC MONOGRAPH DRUG,M018
69968-0360,"TETRAHYDROZOLINE HYDROCHLORIDE, POLYETHYLENE GLYCOL 400, and ZINC SULFATE, UNSPECIFIED FORM",Visine Red Eye Total Comfort Multi-Symptom,Kenvue Brands LLC,"POLYETHYLENE GLYCOL 400 (10 mg/mL); TETRAHYDROZOLINE HYDROCHLORIDE (.5 mg/mL); ZINC SULFATE, UNSPECIFIED FORM (2.5 mg/mL)",SOLUTION/ DROPS,OPHTHALMIC,HUMAN OTC DRUG,OTC MONOGRAPH DRUG,M018
69968-0860,Salicylic Acid,Neutrogena SkinClearing Oil-Free Makeup- Medium Beige 80,Kenvue Brands LLC,SALICYLIC ACID (5 mg/mL),LIQUID,TOPICAL,HUMAN OTC DRUG,OTC MONOGRAPH DRUG,M006
70069-064,Ropivacaine Hydrochloride,Ropivacaine Hydrochloride,"Somerset Therapeutics, LLC",ROPIVACAINE HYDROCHLORIDE (5 mg/mL),INJECTION,"EPIDURAL, INFILTRATION, PERINEURAL",HUMAN PRESCRIPTION DRUG,ANDA,ANDA207636
70108-116,"Titanium Dioxide, Zinc Oxide",Smart Care SPORT ultra SUNSCREEN SPF 50,Ashtel Studios Inc.,TITANIUM DIOXIDE (4.5 g/100g); ZINC OXIDE (6.5 g/100g),LOTION,TOPICAL,HUMAN OTC DRUG,OTC MONOGRAPH DRUG,M020
70121-2626,risperidone,Risperidone,Amneal Pharmaceuticals LLC,,KIT,INTRAMUSCULAR,HUMAN PRESCRIPTION DRUG,ANDA,ANDA218586
70381-134,Salicylic Acid,Biome-Balancing Clear and Prevent Acne (Blemish) Treatment Serum,"Murad, LLC",SALICYLIC ACID (1 g/100mL),SOLUTION,TOPICAL,HUMAN OTC DRUG,OTC MONOGRAPH DRUG,M006
70512-012,Lidocaine,LidaFlex,SOLA Pharmaceuticals,LIDOCAINE (40 mg/g),PATCH,TOPICAL,HUMAN OTC DRUG,OTC MONOGRAPH DRUG,M017
70518-1269,Haloperidol,Haloperidol,REMEDYREPACK INC.,HALOPERIDOL (5 mg/1),TABLET,ORAL,HUMAN PRESCRIPTION DRUG,ANDA,ANDA077580
70518-2431,Pioglitazone,Pioglitazone,REMEDYREPACK INC.,PIOGLITAZONE HYDROCHLORIDE (45 mg/1),TABLET,ORAL,HUMAN PRESCRIPTION DRUG,ANDA,ANDA200268
70518-3401,PREDNISONE,prednisone,REMEDYREPACK INC.,PREDNISONE (20 mg/1),TABLET,ORAL,HUMAN PRESCRIPTION DRUG,ANDA,ANDA208412
70518-3963,bupropion hydrochloride,Bupropion Hydrochloride (XL),REMEDYREPACK INC.,BUPROPION HYDROCHLORIDE (150 mg/1),"TABLET, FILM COATED, EXTENDED RELEASE",ORAL,HUMAN PRESCRIPTION DRUG,ANDA,ANDA207479
71217-0071,"citronellol, geraniol",Hydrating moisture day and nightcream,inthismorning co ltd,".BETA.-CITRONELLOL, (R)- (.0090402 g/100mL); GERANIOL (.003019275 g/100mL)",CREAM,TOPICAL,HUMAN OTC DRUG,UNAPPROVED DRUG OTHER,
71288-422,Heparin Sodium,Heparin Sodium,Meitheal Pharmaceuticals Inc.,HEPARIN SODIUM (5000 [USP'U]/mL),INJECTION,"INTRAVENOUS, SUBCUTANEOUS",HUMAN PRESCRIPTION DRUG,ANDA,ANDA211007
71335-0270,Warfarin Sodium,Warfarin Sodium,Bryant Ranch Prepack,WARFARIN SODIUM (1 mg/1),TABLET,ORAL,HUMAN PRESCRIPTION DRUG,ANDA,ANDA040616
71335-0872,fenofibrate,Fenofibrate,Bryant Ranch Prepack,FENOFIBRATE (145 mg/1),"TABLET, FILM COATED",ORAL,HUMAN PRESCRIPTION DRUG,ANDA,ANDA200884
70742-598,BENZOCAINE,Climax Shield Delay,PRODUCT MAX GROUP INC,BENZOCAINE (75 mg/mL),LIQUID,TOPICAL,HUMAN OTC DRUG,OTC MONOGRAPH DRUG,M017
0378-7287,Levonorgestrel and Ethinyl Estradiol,LEVONORGESTREL AND ETHINYL ESTRADIOL,Mylan Pharmaceuticals Inc.,,KIT,,HUMAN PRESCRIPTION DRUG,ANDA,ANDA200245
70771-1493,esomeprazole magnesium,esomeprazole magnesium,Zydus Lifesciences Limited,ESOMEPRAZOLE MAGNESIUM DIHYDRATE (20 mg/1),"CAPSULE, DELAYED RELEASE",ORAL,HUMAN PRESCRIPTION DRUG,ANDA,ANDA206296
0378-6440,verapamil hydrochloride,Verapamil Hydrochloride,Mylan Pharmaceuticals Inc.,VERAPAMIL HYDROCHLORIDE (240 mg/1),"CAPSULE, EXTENDED RELEASE",ORAL,HUMAN PRESCRIPTION DRUG,ANDA,ANDA075138
70771-1881,sitagliptin and metformin hydrochloride,ZITUVIMET XR,Zydus Lifesciences Limited,METFORMIN HYDROCHLORIDE (1000 mg/1); SITAGLIPTIN (100 mg/1),"TABLET, FILM COATED, EXTENDED RELEASE",ORAL,HUMAN PRESCRIPTION DRUG,NDA,NDA216778
70954-407,Sildenafil Citrate,Sildenafil Citrate,"ANI Pharmaceuticals, Inc.",SILDENAFIL CITRATE (25 mg/1),TABLET,ORAL,HUMAN PRESCRIPTION DRUG,ANDA,ANDA216383
71101-018,"Bacitracin Zinc, Neomycin Sulfate, Polymyxin B, and Pramixine HCl",TheraCare Triple Antibiotic,Veridian Healthcare,BACITRACIN ZINC (400 [iU]/g); NEOMYCIN SULFATE (3.5 mg/g); POLYMYXIN B SULFATE (5000 [iU]/g); PRAMOXINE HCL (10 mg/g),OINTMENT,TOPICAL,HUMAN OTC DRUG,OTC MONOGRAPH DRUG,M004
71205-003,METOPROLOL,METOPROLOL TARTRATE,Proficient Rx LP,METOPROLOL TARTRATE (25 mg/1),TABLET,ORAL,HUMAN PRESCRIPTION DRUG,ANDA,ANDA202871
71205-306,Acetaminophen,MEDI-FIRST Non-Aspirin,Proficient Rx LP,ACETAMINOPHEN (325 mg/1),"TABLET, COATED",ORAL,HUMAN OTC DRUG,OTC MONOGRAPH DRUG,M013
71205-592,Chlorthalidone,Chlorthalidone,Proficient Rx LP,CHLORTHALIDONE (25 mg/1),TABLET,ORAL,HUMAN PRESCRIPTION DRUG,ANDA,ANDA207222
71205-850,Phenobarbital,Phenobarbital,Proficient Rx LP,PHENOBARBITAL (97.2 mg/1),TABLET,ORAL,HUMAN PRESCRIPTION DRUG,UNAPPROVED DRUG OTHER,
0409-1541,BUPIVACAINE HYDROCHLORIDE AND EPINEPHRINE,Marcaine with Epinephrine,"Hospira, Inc.",BUPIVACAINE HYDROCHLORIDE (2.5 mg/mL); EPINEPHRINE BITARTRATE (.0091 mg/mL),"INJECTION, SOLUTION","EPIDURAL, INFILTRATION, INTRACAUDAL, PERINEURAL",HUMAN PRESCRIPTION DRUG,NDA,NDA016964
71872-7302,Ephedrine sulfate,Ephedrine sulfate,"Medical Purchasing Solutions, LLC",EPHEDRINE SULFATE (50 mg/mL),INJECTION,INTRAVENOUS,HUMAN PRESCRIPTION DRUG,ANDA,ANDA216129
71921-222,Lacosamide,Lacosamide,"Florida Pharmaceutical Products, LLC",LACOSAMIDE (150 mg/1),TABLET,ORAL,HUMAN PRESCRIPTION DRUG,ANDA,ANDA208308
72036-871,Hydrogen Peroxide,Hydrogen Peroxide,HARRIS TEETER,HYDROGEN PEROXIDE (30 mg/mL),SOLUTION,TOPICAL,HUMAN OTC DRUG,OTC MONOGRAPH DRUG,M003
71335-2037,Gabapentin,Gabapentin,Bryant Ranch Prepack,GABAPENTIN (800 mg/1),TABLET,ORAL,HUMAN PRESCRIPTION DRUG,ANDA,ANDA206402
71335-2310,Ramelteon,Ramelteon,Bryant Ranch Prepack,RAMELTEON (8 mg/1),TABLET,ORAL,HUMAN PRESCRIPTION DRUG,ANDA,ANDA215243
71335-1336,Atorvastatin calcium,Atorvastatin calcium,Bryant Ranch Prepack,ATORVASTATIN CALCIUM TRIHYDRATE (80 mg/1),"TABLET, FILM COATED",ORAL,HUMAN PRESCRIPTION DRUG,ANDA,ANDA211933
71335-1753,Desvenlafaxine,Desvenlafaxine,Bryant Ranch Prepack,DESVENLAFAXINE SUCCINATE (50 mg/1),"TABLET, EXTENDED RELEASE",ORAL,HUMAN PRESCRIPTION DRUG,ANDA,ANDA210014
71335-2568,METFORMIN HYDROCHLORIDE,METFORMIN HYDROCHLORIDE,Bryant Ranch Prepack,METFORMIN HYDROCHLORIDE (500 mg/1),"TABLET, EXTENDED RELEASE",ORAL,HUMAN PRESCRIPTION DRUG,ANDA,ANDA217631
71335-2834,Metoprolol Succinate ER Tablets,Metoprolol Succinate,Bryant Ranch Prepack,METOPROLOL SUCCINATE (25 mg/1),"TABLET, FILM COATED, EXTENDED RELEASE",ORAL,HUMAN PRESCRIPTION DRUG,ANDA,ANDA211143
71335-9645,Ramipril,Ramipril,Bryant Ranch Prepack,RAMIPRIL (5 mg/1),CAPSULE,ORAL,HUMAN PRESCRIPTION DRUG,ANDA,ANDA077626
71399-8460,BISACODYL,OneLAX,AKRON PHARMA INC,BISACODYL (10 mg/1),SUPPOSITORY,RECTAL,HUMAN OTC DRUG,OTC MONOGRAPH DRUG,M007
71610-203,Buspirone Hydrochloride,Buspirone Hydrochloride,"Aphena Pharma Solutions - Tennessee, LLC",BUSPIRONE HYDROCHLORIDE (5 mg/1),TABLET,ORAL,HUMAN PRESCRIPTION DRUG,ANDA,ANDA075022
71610-606,Venlafaxine,Venlafaxine,"Aphena Pharma Solutions - Tennessee, LLC",VENLAFAXINE HYDROCHLORIDE (75 mg/1),TABLET,ORAL,HUMAN PRESCRIPTION DRUG,ANDA,ANDA078627
0409-1103,CISATRACURIUM BESYLATE,Cisatracurium Besylate,"Hospira, Inc.",CISATRACURIUM BESYLATE (10 mg/mL),"INJECTION, SOLUTION",INTRAVENOUS,HUMAN PRESCRIPTION DRUG,ANDA,ANDA203236
71713-099,Finasteride,Finasteride,Thirty Madison Inc,FINASTERIDE (1 mg/1),TABLET,ORAL,HUMAN PRESCRIPTION DRUG,ANDA,ANDA207750
72603-178,Pantoprazole,Pantoprazole,NorthStar RxLLC,PANTOPRAZOLE SODIUM (40 mg/1),"TABLET, DELAYED RELEASE",ORAL,HUMAN PRESCRIPTION DRUG,ANDA,ANDA077619
72603-665,LEVOTHYROXINE SODIUM,LEVOTHYROXINE SODIUM,NorthStar RxLLC,LEVOTHYROXINE SODIUM (112 ug/1),TABLET,ORAL,HUMAN PRESCRIPTION DRUG,ANDA,ANDA211417
72769-181,peramivir,Rapivab,"BioCryst Pharmaceuticals, Inc.",PERAMIVIR (600 mg/60mL),SOLUTION,INTRAVENOUS,HUMAN PRESCRIPTION DRUG,NDA,NDA206426
72789-272,Levothyroxine Sodium,Levothyroxine sodium,"PD-Rx Pharmaceuticals, Inc.",LEVOTHYROXINE SODIUM (50 ug/1),TABLET,ORAL,HUMAN PRESCRIPTION DRUG,ANDA,ANDA212399
72162-1933,Sotalol Hydrochloride,Sotalol Hydrochloride,Bryant Ranch Prepack,SOTALOL HYDROCHLORIDE (160 mg/1),TABLET,ORAL,HUMAN PRESCRIPTION DRUG,ANDA,ANDA075563
72162-2252,Acetaminophen,Regular Strength Pain Relief,Bryant Ranch Prepack,ACETAMINOPHEN (325 mg/1),TABLET,ORAL,HUMAN OTC DRUG,OTC MONOGRAPH DRUG,M013
72162-2500,Sevelamer Hydrochloride,Sevelamer Hydrochloride,Bryant Ranch Prepack,SEVELAMER HYDROCHLORIDE (400 mg/1),"TABLET, FILM COATED",ORAL,HUMAN PRESCRIPTION DRUG,ANDA,ANDA206883
72162-1106,Trospium Chloride,Trospium Chloride ER,Bryant Ranch Prepack,TROSPIUM CHLORIDE (60 mg/1),"CAPSULE, EXTENDED RELEASE",ORAL,HUMAN PRESCRIPTION DRUG,ANDA,ANDA201291
72162-1546,PREGABALIN,Pregabalin,Bryant Ranch Prepack,PREGABALIN (200 mg/1),CAPSULE,ORAL,HUMAN PRESCRIPTION DRUG,ANDA,ANDA208677
72189-249,COLCHICINE,COLCHICINE,direct rx,COLCHICINE (.6 mg/1),"TABLET, FILM COATED",ORAL,HUMAN PRESCRIPTION DRUG,NDA,NDA022352
72189-530,Phenazopyridine HCL,Phenazopyridine HCL,Direct Rx,PHENAZOPYRIDINE HYDROCHLORIDE (200 mg/1),TABLET,ORAL,HUMAN PRESCRIPTION DRUG,UNAPPROVED DRUG OTHER,
72205-076,Deferasirox,Deferasorox,Novadoz Pharmaceuticals LLC,DEFERASIROX (360 mg/1),GRANULE,ORAL,HUMAN PRESCRIPTION DRUG,ANDA,ANDA214650
72260-129,ACETAMINOPHEN and IBUPROFEN,Combogesic,"AFT Pharmaceuticals US, Inc.",ACETAMINOPHEN (325 mg/1); IBUPROFEN (97.5 mg/1),"TABLET, FILM COATED",ORAL,HUMAN PRESCRIPTION DRUG,NDA,NDA209471
72288-618,BENZOYL PEROXIDE,amazon basics step 3 treatment Acne medication,AMAZON.COM SERVICES LLC,BENZOYL PEROXIDE (25 mg/mL),LOTION,TOPICAL,HUMAN OTC DRUG,OTC MONOGRAPH DRUG,M006
72427-4756,Pectin,Sootheez Organic Variety Pack,BFY LLC,PECTIN (11.5 mg/3.5g),LOZENGE,ORAL,HUMAN OTC DRUG,OTC MONOGRAPH DRUG,M022
72481-101,MENTHOL,LactiGo,"LactiGo, Inc.","MENTHOL, UNSPECIFIED FORM (12.5 mg/mL)",GEL,TOPICAL,HUMAN OTC DRUG,OTC MONOGRAPH DRUG,M017
72572-158,daptomycin,Daptomycin,"Civica, Inc.",DAPTOMYCIN (500 mg/10mL),"INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION",INTRAVENOUS,HUMAN PRESCRIPTION DRUG,NDA,NDA217415
0517-1004,ATROPINE SULFATE,Atropine Sulfate,"American Regent, Inc.",ATROPINE SULFATE (.4 mg/mL),"INJECTION, SOLUTION",INTRAVENOUS,HUMAN PRESCRIPTION DRUG,ANDA,ANDA216120
72854-216,"Oxymetazoline hydrochloride, Acetaminophen and Guaifenesin","Mucinex Rapid Clear Pain, Headache, and Mucus Congestion and Sinus Max Clear and Cool",RB Health (US) LLC,,KIT,ORAL,HUMAN OTC DRUG,OTC MONOGRAPH DRUG,M012
0065-0800,"balanced salt solution enriched with bicarbonate, dextrose, and glutathione",BSS PLUS,"Alcon Laboratories, Inc.",,KIT,,HUMAN PRESCRIPTION DRUG,NDA,NDA018469
72789-515,Amlodipine Besylate,Amlodipine Besylate,"PD-Rx Pharmaceuticals, Inc.",AMLODIPINE BESYLATE (5 mg/1),TABLET,ORAL,HUMAN PRESCRIPTION DRUG,ANDA,ANDA076719
73088-401,PYRITHIONE ZINC,BYE-BYE CRADLE CAP,Tubby Todd,PYRITHIONE ZINC (.95 g/100mL),GEL,TOPICAL,HUMAN OTC DRUG,OTC MONOGRAPH DRUG,M032
76420-525,prazosin hydrochloride,prazosin hydrochloride,ASCLEMED USA INC.,PRAZOSIN HYDROCHLORIDE (2 mg/1),CAPSULE,ORAL,HUMAN PRESCRIPTION DRUG,ANDA,ANDA215697
76314-003,HYDROCORTISONE,FixMySkin Healing Balm Unflavored,"Lovely Skin, Inc.",HYDROCORTISONE (10 mg/mL),OINTMENT,TOPICAL,HUMAN OTC DRUG,OTC MONOGRAPH DRUG,M017
76354-664,Zinc Oxide,Halo Glow Skin Tint SPF50 -84518,"e.l.f. Cosmetics, Inc.",ZINC OXIDE (120 mg/mL),LOTION,TOPICAL,HUMAN OTC DRUG,OTC MONOGRAPH DRUG,M020
76420-110,Hydrocortisone,Hydrocortisone,"Asclemed USA, Inc.",HYDROCORTISONE (5 mg/1),TABLET,ORAL,HUMAN PRESCRIPTION DRUG,ANDA,ANDA207029
73306-1105,Antiperspirant Above Sport Aerosol,Antiperspirant Above Sport,Baston Industria de Aerossis Ltda,ALUMINUM SESQUICHLOROHYDRATE (24 g/100g),"AEROSOL, SPRAY",TOPICAL,HUMAN OTC DRUG,OTC MONOGRAPH DRUG,M019
73466-0009,"Sodium palm kernelate, Panax Ginseng Root Extract",ko7 Herbal MedicatedSoap,MISOCOS,PANAX GINSENG ROOT OIL (.3 g/100g),SOAP,TOPICAL,HUMAN OTC DRUG,UNAPPROVED DRUG OTHER,
73594-0101,trilaciclib,COSELA,Pharmacosmos Therapeutics Inc.,TRILACICLIB DIHYDROCHLORIDE (300 mg/20mL),"INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION",INTRAVENOUS,HUMAN PRESCRIPTION DRUG,NDA,NDA214200
73928-036,SODIUM FLUORIDE,BRUSH BUDDIES CRAYOLA ANTICAVITY FLUORIDE WATERMELON,"Kingkey MBC Life Technology Group Co.,Ltd",SODIUM FLUORIDE (.05 g/100mL),LIQUID,ORAL,HUMAN OTC DRUG,OTC MONOGRAPH DRUG,M021
74725-100,Kit for the preparation of gallium Ga 68 gozetotide injection,ILLUCCIX,Telix Pharmaceuticals (US) Inc.,,KIT,INTRAVENOUS,HUMAN PRESCRIPTION DRUG,NDA,NDA214032
75742-032,Ethyl alcohol,AMERICAN RED CROSS 70% ETHYL ALCOHOL HAND SANITIZER,"Zhejiang Guoyao Jingyue Aerosol Co., Ltd",ALCOHOL (70 mL/100mL),GEL,TOPICAL,HUMAN OTC DRUG,OTC MONOGRAPH DRUG,M003
75907-052,Methylphenidate Hydrochloride,Methylphenidate Hydrochloride (LA),Dr. Reddy's Laboratories Inc,METHYLPHENIDATE HYDROCHLORIDE (40 mg/1),"CAPSULE, EXTENDED RELEASE",ORAL,HUMAN PRESCRIPTION DRUG,ANDA,ANDA078458
76125-150,HUMAN RABIES VIRUS IMMUNE GLOBULIN,KEDRAB,Kedrion Biopharma Inc.,HUMAN RABIES VIRUS IMMUNE GLOBULIN (150 [iU]/mL),"INJECTION, SOLUTION",INTRAMUSCULAR,PLASMA DERIVATIVE,BLA,BLA125613
76204-700,Levalbuterol Hydrochloride,Levalbuterol,"Ritedose Pharmaceuticals, LLC",LEVALBUTEROL HYDROCHLORIDE (.31 mg/3mL),SOLUTION,RESPIRATORY (INHALATION),HUMAN PRESCRIPTION DRUG,ANDA,ANDA203653
76420-819,Amoxicillin,Amoxicillin,"Asclemed USA, Inc.",AMOXICILLIN (400 mg/5mL),"POWDER, FOR SUSPENSION",ORAL,HUMAN PRESCRIPTION DRUG,ANDA,ANDA065378
76472-4049,EUPHRASIA OFFICINALIS,EUPHRASIA OFFICINALIS 30C,SEVENE USA,EUPHRASIA STRICTA (30 [hp_C]/1),PELLET,SUBLINGUAL,HUMAN OTC DRUG,UNAPPROVED HOMEOPATHIC,
77771-178,Gabapentin,Gabapentin,"Radha Pharmaceuticals, Inc.",GABAPENTIN (800 mg/1),TABLET,ORAL,HUMAN PRESCRIPTION DRUG,ANDA,ANDA205101
78936-415,Salicylic Acid,Acne Dots,"Hangzhou Caring Cleaning Commodity Co., Ltd",SALICYLIC ACID (5 mg/1000mg),PATCH,TRANSDERMAL,HUMAN OTC DRUG,UNAPPROVED DRUG OTHER,
79481-0734,Nicotine Polacrilex,mini nicotine,"Meijer, Inc.",NICOTINE (2 mg/1),LOZENGE,ORAL,HUMAN OTC DRUG,ANDA,ANDA203690
79903-007,"Avobenzone, Homosalate, Octisalate",Tanning Sunscreen UVB Protection Dry Oil Equate,WAL-MART STORES INC.,AVOBENZONE (20 mg/g); HOMOSALATE (100 mg/g); OCTISALATE (50 mg/g),"AEROSOL, SPRAY",TOPICAL,HUMAN OTC DRUG,OTC MONOGRAPH DRUG,M020
79903-344,Cetirizine HCl,Allergy Relief,WALMART INC. (see also Equate),CETIRIZINE HYDROCHLORIDE (10 mg/1),"CAPSULE, LIQUID FILLED",ORAL,HUMAN OTC DRUG,ANDA,ANDA205291
0067-2056,"Acetaminophen, Aspirin (NSAID) and Diphenhydramine Citrate",Excedrin PM Triple Action Caplets,Haleon US Holdings LLC,ACETAMINOPHEN (250 mg/1); ASPIRIN (250 mg/1); DIPHENHYDRAMINE CITRATE (38 mg/1),"TABLET, COATED",ORAL,HUMAN OTC DRUG,OTC MONOGRAPH DRUG,M013
80425-0297,Venlafaxine hydrochloride,Venlafaxine hydrochloride ER,"Advanced Rx Pharmacy of Tennessee, LLC",VENLAFAXINE HYDROCHLORIDE (150 mg/1),"CAPSULE, EXTENDED RELEASE",ORAL,HUMAN PRESCRIPTION DRUG,ANDA,ANDA200834
0574-0293,hydromorphone hydrochloride,hydromorphone hydrochloride,Padagis US LLC,HYDROMORPHONE HYDROCHLORIDE (8 mg/1),"TABLET, EXTENDED RELEASE",ORAL,HUMAN PRESCRIPTION DRUG,ANDA,ANDA204278
80684-105,ALCOHOL,Coconut Scented Hand Sanitizer,"FOURSTAR GROUP USA, INC.",ALCOHOL (70 mL/100mL),LIQUID,TOPICAL,HUMAN OTC DRUG,OTC MONOGRAPH DRUG,505G(a)(3)
81033-512,"Chlorhexidine Gluconate, 0.12% Oral Rinse","Chlorhexidine Gluconate, 0.12% Oral Rinse Solution",Kesin Pharma Corporation,CHLORHEXIDINE GLUCONATE (1.2 mg/mL),SOLUTION,DENTAL,HUMAN PRESCRIPTION DRUG,ANDA,ANDA075561
81425-004,"Arsenicum album, Eupatorium perfoliatum, Kali muriaticum, Sticta pulmonaria",LUMO Heal Seasonal Flu Companion,"Applied Bioenergetics, LLC",ARSENIC TRIOXIDE (12 [hp_C]/1); EUPATORIUM PERFOLIATUM FLOWERING TOP (30 [hp_C]/1); LOBARIA PULMONARIA (12 [hp_C]/1); POTASSIUM CHLORIDE (30 [hp_C]/1),"TABLET, CHEWABLE",ORAL,HUMAN OTC DRUG,UNAPPROVED HOMEOPATHIC,
0591-2191,Ramelteon,Ramelteon,"Actavis Pharma, Inc.",RAMELTEON (8 mg/1),TABLET,ORAL,HUMAN PRESCRIPTION DRUG,ANDA,ANDA091610
82009-056,Venlafaxine Hydrochloride,Venlafaxine Hydrochloride,QUALLENT PHARMACEUTICALS HEALTH LLC,VENLAFAXINE HYDROCHLORIDE (37.5 mg/1),"CAPSULE, EXTENDED RELEASE",ORAL,HUMAN PRESCRIPTION DRUG,ANDA,ANDA200834
82112-115,AFICAMTEN,MYQORZO,Cytokinetics Inc.,AFICAMTEN (15 mg/1),"TABLET, FILM COATED",ORAL,HUMAN PRESCRIPTION DRUG,NDA,NDA219083
82376-6007,Minoxidil,Minoxidil (For Women),SPAZI INC.,MINOXIDIL (50 mg/g),"AEROSOL, FOAM",TOPICAL,HUMAN OTC DRUG,ANDA,ANDA209074
82501-0612,Loratadine,goodnow allergy relief,"Gobrands, Inc",LORATADINE (10 mg/1),TABLET,ORAL,HUMAN OTC DRUG,ANDA,ANDA076301
82685-202,Digoxin,Digoxin,"Oliva Therapeutics, LLC",DIGOXIN (250 ug/1),TABLET,ORAL,HUMAN PRESCRIPTION DRUG,ANDA,ANDA076268
82804-043,Simethicone,Simethicone 80 mg,Proficient Rx LP,DIMETHICONE (80 mg/1),"TABLET, CHEWABLE",ORAL,HUMAN OTC DRUG,OTC MONOGRAPH DRUG,M002
82804-970,AMLODIPINE BESYLATE,AMLODIPINE BESYLATE 5 mg,Proficient Rx LP,AMLODIPINE BESYLATE (5 mg/1),TABLET,ORAL,HUMAN PRESCRIPTION DRUG,ANDA,ANDA078414
82953-006,"avobenzone, homosalate, octisalate, octocrylene",Sunscreen stick,"Cosmuses Cosmetics (Ningbo) Co., Ltd.",AVOBENZONE (1.5 g/100g); HOMOSALATE (4 g/100g); OCTISALATE (2 g/100g); OCTOCRYLENE (4 g/100g),STICK,TOPICAL,HUMAN OTC DRUG,OTC MONOGRAPH DRUG,M020
82969-2128,"Baptisia, Belladonna, Bryonia, Echinacea, Triticum rep",Bestmade Natural Products BM128,Bestmade Natural Products,ATROPA BELLADONNA (30 [hp_C]/30[hp_C]); BAPTISIA TINCTORIA ROOT (30 [hp_C]/30[hp_C]); BRYONIA ALBA ROOT (30 [hp_C]/30[hp_C]); ECHINACEA ANGUSTIFOLIA WHOLE (30 [hp_C]/30[hp_C]); ELYMUS REPENS ROOT (30 [hp_C]/30[hp_C]),LIQUID,ORAL,HUMAN OTC DRUG,UNAPPROVED HOMEOPATHIC,
82969-5090,Sanguinaria Canadensis,Bestmade Natural Products Sanguinaria Can,Bestmade Natural Products,SANGUINARIA CANADENSIS ROOT (30 [hp_C]/30[hp_C]),"TABLET, SOLUBLE",ORAL,HUMAN OTC DRUG,UNAPPROVED HOMEOPATHIC,
83008-078,Ciprofolxacin,Ciprofloxacin,"Quality Care Products, LLC",CIPROFLOXACIN HYDROCHLORIDE (500 mg/1),TABLET,ORAL,HUMAN PRESCRIPTION DRUG,ANDA,ANDA208921
